trial_id,seed,scenario,warm_start_scale,shrunk_size,true_size,estimated_size,ci_lower,ci_upper,true_in_ci,ci_width,relative_error
108,855252,subset,0,25,25,25,19,25,true,6,0.0000
109,863171,subset,0,25,25,25,19,25,true,6,0.0000
110,871090,subset,0,25,25,25,19,25,true,6,0.0000
111,879009,subset,0,25,25,25,19,25,true,6,0.0000
112,886928,subset,0,25,25,25,19,25,true,6,0.0000
113,894847,subset,0,25,25,25,19,25,true,6,0.0000
114,902766,subset,0,25,25,25,19,25,true,6,0.0000
115,910685,subset,0,25,25,25,19,25,true,6,0.0000
116,918604,subset,0,25,25,25,19,25,true,6,0.0000
117,926523,subset,0,25,25,25,19,25,true,6,0.0000
118,934442,subset,0,25,25,25,19,25,true,6,0.0000
119,942361,subset,0,25,25,25,19,25,true,6,0.0000
120,950280,subset,0,25,25,25,19,25,true,6,0.0000
121,958199,subset,0,25,25,25,19,25,true,6,0.0000
122,966118,subset,0,25,25,25,19,25,true,6,0.0000
123,974037,subset,0,25,25,25,19,25,true,6,0.0000
124,981956,subset,0,25,25,25,19,25,true,6,0.0000
125,989875,subset,0,25,25,25,19,25,true,6,0.0000
126,997794,subset,0,25,25,25,19,25,true,6,0.0000
127,1005713,subset,0,25,25,25,19,25,true,6,0.0000
128,1013632,subset,0,25,25,25,19,25,true,6,0.0000
129,1021551,subset,0,25,25,25,19,25,true,6,0.0000
130,1029470,subset,0,25,25,25,19,25,true,6,0.0000
131,1037389,subset,0,25,25,25,19,25,true,6,0.0000
132,1045308,subset,0,25,25,25,19,25,true,6,0.0000
133,1053227,subset,0,25,25,25,19,25,true,6,0.0000
134,1061146,subset,0,25,25,25,19,25,true,6,0.0000
135,1069065,subset,0,25,25,25,19,25,true,6,0.0000
136,1076984,subset,0,25,25,25,19,25,true,6,0.0000
137,1084903,subset,0,25,25,25,19,25,true,6,0.0000
138,1092822,subset,0,25,25,25,19,25,true,6,0.0000
139,1100741,subset,0,25,25,25,19,25,true,6,0.0000
140,1108660,subset,0,25,25,25,19,25,true,6,0.0000
141,1116579,subset,0,25,25,25,19,25,true,6,0.0000
142,1124498,subset,0,25,25,25,19,25,true,6,0.0000
143,1132417,subset,0,25,25,25,19,25,true,6,0.0000
144,1140336,subset,0,25,25,25,19,25,true,6,0.0000
145,1148255,subset,0,25,25,25,19,25,true,6,0.0000
146,1156174,subset,0,25,25,25,19,25,true,6,0.0000
147,1164093,subset,0,25,25,25,19,25,true,6,0.0000
148,1172012,subset,0,25,25,25,19,25,true,6,0.0000
149,1179931,subset,0,25,25,25,19,25,true,6,0.0000
150,1187850,subset,0,25,25,25,19,25,true,6,0.0000
151,1195769,subset,0,25,25,25,19,25,true,6,0.0000
152,1203688,subset,0,25,25,25,19,25,true,6,0.0000
153,1211607,subset,0,25,25,25,19,25,true,6,0.0000
154,1219526,subset,0,25,25,25,19,25,true,6,0.0000
155,1227445,subset,0,25,25,25,19,25,true,6,0.0000
156,1235364,subset,0,25,25,25,19,25,true,6,0.0000
157,1243283,subset,0,25,25,25,19,25,true,6,0.0000
158,1251202,subset,0,25,25,25,19,25,true,6,0.0000
159,1259121,subset,0,25,25,25,19,25,true,6,0.0000
160,1267040,subset,0,25,25,25,19,25,true,6,0.0000
161,1274959,subset,0,25,25,25,19,25,true,6,0.0000
162,1282878,subset,0,25,25,25,19,25,true,6,0.0000
163,1290797,subset,0,25,25,25,19,25,true,6,0.0000
164,1298716,subset,0,25,25,25,19,25,true,6,0.0000
165,1306635,subset,0,25,25,25,19,25,true,6,0.0000
166,1314554,subset,0,25,25,25,19,25,true,6,0.0000
167,1322473,subset,0,25,25,25,19,25,true,6,0.0000
168,1330392,subset,0,25,25,25,19,25,true,6,0.0000
169,1338311,subset,0,25,25,25,19,25,true,6,0.0000
170,1346230,subset,0,25,25,25,19,25,true,6,0.0000
171,1354149,subset,0,25,25,25,19,25,true,6,0.0000
172,1362068,subset,0,25,25,25,19,25,true,6,0.0000
173,1369987,subset,0,25,25,25,19,25,true,6,0.0000
174,1377906,subset,0,25,25,25,19,25,true,6,0.0000
175,1385825,subset,0,25,25,25,19,25,true,6,0.0000
176,1393744,subset,0,25,25,25,19,25,true,6,0.0000
177,1401663,subset,0,25,25,25,19,25,true,6,0.0000
178,1409582,subset,0,25,25,25,19,25,true,6,0.0000
179,1417501,subset,0,25,25,25,19,25,true,6,0.0000
180,1425420,subset,0,25,25,25,19,25,true,6,0.0000
181,1433339,subset,0,25,25,25,19,25,true,6,0.0000
182,1441258,subset,0,25,25,25,19,25,true,6,0.0000
183,1449177,subset,0,25,25,25,19,25,true,6,0.0000
184,1457096,subset,0,25,25,25,19,25,true,6,0.0000
185,1465015,subset,0,25,25,25,19,25,true,6,0.0000
186,1472934,subset,0,25,25,25,19,25,true,6,0.0000
187,1480853,subset,0,25,25,25,19,25,true,6,0.0000
188,1488772,subset,0,25,25,25,19,25,true,6,0.0000
189,1496691,subset,0,25,25,25,19,25,true,6,0.0000
190,1504610,subset,0,25,25,25,19,25,true,6,0.0000
191,1512529,subset,0,25,25,25,19,25,true,6,0.0000
192,1520448,subset,0,25,25,25,19,25,true,6,0.0000
