trial_id,seed,algorithm,start_value,threshold,budget,final_value,distance,attempts_used,converged,rejections
126,997794,random-100,100,10,50,10,0,45,1,43
127,1005713,random-100,100,10,50,10,0,7,1,6
128,1013632,random-100,100,10,50,10,0,50,1,48
129,1021551,random-100,100,10,50,10,0,47,1,45
130,1029470,random-100,100,10,50,10,0,42,1,40
131,1037389,random-100,100,10,50,10,0,34,1,32
132,1045308,random-100,100,10,50,10,0,42,1,40
133,1053227,random-100,100,10,50,10,0,41,1,39
134,1061146,random-100,100,10,50,10,0,8,1,7
135,1069065,random-100,100,10,50,10,0,5,1,4
136,1076984,random-100,100,10,50,10,0,29,1,27
137,1084903,random-100,100,10,50,10,0,5,1,4
138,1092822,random-100,100,10,50,10,0,46,1,44
139,1100741,random-100,100,10,50,10,0,4,1,3
140,1108660,random-100,100,10,50,10,0,43,1,41
141,1116579,random-100,100,10,50,10,0,42,1,40
142,1124498,random-100,100,10,50,10,0,3,1,2
143,1132417,random-100,100,10,50,10,0,5,1,4
144,1140336,random-100,100,10,50,10,0,37,1,35
145,1148255,random-100,100,10,50,10,0,47,1,45
146,1156174,random-100,100,10,50,10,0,45,1,43
147,1164093,random-100,100,10,50,10,0,35,1,33
148,1172012,random-100,100,10,50,10,0,41,1,39
149,1179931,random-100,100,10,50,10,0,5,1,4
150,1187850,random-100,100,10,50,10,0,49,1,47
151,1195769,random-100,100,10,50,10,0,43,1,41
152,1203688,random-100,100,10,50,10,0,40,1,38
153,1211607,random-100,100,10,50,10,0,40,1,38
154,1219526,random-100,100,10,50,10,0,43,1,41
155,1227445,random-100,100,10,50,10,0,47,1,45
156,1235364,random-100,100,10,50,10,0,36,1,34
157,1243283,random-100,100,10,50,10,0,3,1,2
158,1251202,random-100,100,10,50,10,0,6,1,5
159,1259121,random-100,100,10,50,10,0,10,1,9
160,1267040,random-100,100,10,50,10,0,44,1,42
161,1274959,random-100,100,10,50,10,0,6,1,5
162,1282878,random-100,100,10,50,10,0,41,1,39
163,1290797,random-100,100,10,50,10,0,48,1,46
164,1298716,random-100,100,10,50,10,0,32,1,30
165,1306635,random-100,100,10,50,10,0,45,1,43
166,1314554,random-100,100,10,50,10,0,8,1,7
167,1322473,random-100,100,10,50,10,0,37,1,35
168,1330392,random-100,100,10,50,10,0,47,1,45
169,1338311,random-100,100,10,50,10,0,8,1,7
170,1346230,random-100,100,10,50,10,0,9,1,8
171,1354149,random-100,100,10,50,10,0,45,1,43
172,1362068,random-100,100,10,50,10,0,2,1,1
173,1369987,random-100,100,10,50,10,0,5,1,4
174,1377906,random-100,100,10,50,10,0,40,1,38
175,1385825,random-100,100,10,50,10,0,46,1,44
176,1393744,random-100,100,10,50,11,1,50,0,49
177,1401663,random-100,100,10,50,10,0,44,1,42
178,1409582,random-100,100,10,50,10,0,47,1,45
179,1417501,random-100,100,10,50,10,0,46,1,44
180,1425420,random-100,100,10,50,10,0,6,1,5
181,1433339,random-100,100,10,50,10,0,6,1,5
182,1441258,random-100,100,10,50,10,0,2,1,1
183,1449177,random-100,100,10,50,10,0,5,1,4
184,1457096,random-100,100,10,50,10,0,48,1,46
185,1465015,random-100,100,10,50,10,0,3,1,2
186,1472934,random-100,100,10,50,10,0,45,1,43
187,1480853,random-100,100,10,50,10,0,40,1,38
188,1488772,random-100,100,10,50,10,0,46,1,44
189,1496691,random-100,100,10,50,10,0,5,1,4
190,1504610,random-100,100,10,50,10,0,36,1,34
191,1512529,random-100,100,10,50,10,0,43,1,41
192,1520448,random-100,100,10,50,10,0,3,1,2
193,1528367,random-100,100,10,50,10,0,50,1,48
194,1536286,random-100,100,10,50,10,0,9,1,8
195,1544205,random-100,100,10,50,10,0,46,1,44
196,1552124,random-100,100,10,50,10,0,45,1,43
197,1560043,random-100,100,10,50,10,0,3,1,2
198,1567962,random-100,100,10,50,10,0,6,1,5
199,1575881,random-100,100,10,50,10,0,9,1,8
200,1583800,random-100,100,10,100,10,0,89,1,87
201,1591719,random-100,100,10,100,10,0,92,1,90
202,1599638,random-100,100,10,100,10,0,10,1,9
203,1607557,random-100,100,10,100,10,0,13,1,12
204,1615476,random-100,100,10,100,10,0,10,1,9
205,1623395,random-100,100,10,100,10,0,10,1,9
206,1631314,random-100,100,10,100,10,0,95,1,93
207,1639233,random-100,100,10,100,10,0,6,1,5
208,1647152,random-100,100,10,100,10,0,85,1,83
209,1655071,random-100,100,10,100,10,0,11,1,10
210,1662990,random-100,100,10,100,10,0,6,1,5
211,1670909,random-100,100,10,100,10,0,9,1,8
212,1678828,random-100,100,10,100,10,0,11,1,10
213,1686747,random-100,100,10,100,10,0,16,1,15
214,1694666,random-100,100,10,100,10,0,91,1,89
215,1702585,random-100,100,10,100,10,0,86,1,84
216,1710504,random-100,100,10,100,10,0,96,1,94
217,1718423,random-100,100,10,100,10,0,14,1,13
218,1726342,random-100,100,10,100,10,0,9,1,8
219,1734261,random-100,100,10,100,10,0,10,1,9
220,1742180,random-100,100,10,100,10,0,7,1,6
221,1750099,random-100,100,10,100,10,0,12,1,11
222,1758018,random-100,100,10,100,10,0,94,1,92
223,1765937,random-100,100,10,100,10,0,16,1,15
224,1773856,random-100,100,10,100,10,0,96,1,94
225,1781775,random-100,100,10,100,10,0,90,1,88
226,1789694,random-100,100,10,100,10,0,15,1,14
227,1797613,random-100,100,10,100,10,0,12,1,11
228,1805532,random-100,100,10,100,10,0,97,1,95
229,1813451,random-100,100,10,100,10,0,8,1,7
230,1821370,random-100,100,10,100,10,0,95,1,93
231,1829289,random-100,100,10,100,10,0,13,1,12
