trial_id,seed,bug_type,sampling_mode,bug_detected,detected_by_corner_case,tests_run,corner_cases_used,elapsed_micros
120,950280,zero_boundary,corner_only,true,,1,3,1
121,958199,zero_boundary,corner_only,true,,1,3,1
122,966118,zero_boundary,corner_only,true,,1,3,1
123,974037,zero_boundary,corner_only,true,,1,3,2
124,981956,zero_boundary,corner_only,true,,1,3,1
125,989875,zero_boundary,corner_only,true,,1,3,1
126,997794,zero_boundary,corner_only,true,,1,3,11
127,1005713,zero_boundary,corner_only,true,,1,3,1
128,1013632,zero_boundary,corner_only,true,,1,3,1
129,1021551,zero_boundary,corner_only,true,,1,3,1
130,1029470,zero_boundary,corner_only,true,,1,3,1
131,1037389,zero_boundary,corner_only,true,,1,3,1
132,1045308,zero_boundary,corner_only,true,,1,3,1
133,1053227,zero_boundary,corner_only,true,,1,3,1
134,1061146,zero_boundary,corner_only,true,,1,3,1
135,1069065,zero_boundary,corner_only,true,,1,3,1
136,1076984,zero_boundary,corner_only,true,,1,3,1
137,1084903,zero_boundary,corner_only,true,,1,3,1
138,1092822,zero_boundary,corner_only,true,,1,3,1
139,1100741,zero_boundary,corner_only,true,,1,3,1
140,1108660,zero_boundary,corner_only,true,,1,3,1
141,1116579,zero_boundary,corner_only,true,,1,3,1
142,1124498,zero_boundary,corner_only,true,,1,3,1
143,1132417,zero_boundary,corner_only,true,,1,3,1
144,1140336,zero_boundary,corner_only,true,,1,3,1
145,1148255,zero_boundary,corner_only,true,,1,3,1
146,1156174,zero_boundary,corner_only,true,,1,3,1
147,1164093,zero_boundary,corner_only,true,,1,3,1
148,1172012,zero_boundary,corner_only,true,,1,3,1
149,1179931,zero_boundary,corner_only,true,,1,3,1
150,1187850,zero_boundary,corner_only,true,,1,3,1
151,1195769,zero_boundary,corner_only,true,,1,3,1
152,1203688,zero_boundary,corner_only,true,,1,3,40
153,1211607,zero_boundary,corner_only,true,,1,3,2
154,1219526,zero_boundary,corner_only,true,,1,3,1
155,1227445,zero_boundary,corner_only,true,,1,3,1
156,1235364,zero_boundary,corner_only,true,,1,3,1
157,1243283,zero_boundary,corner_only,true,,1,3,1
158,1251202,zero_boundary,corner_only,true,,1,3,1
159,1259121,zero_boundary,corner_only,true,,1,3,1
160,1267040,zero_boundary,corner_only,true,,1,3,1
161,1274959,zero_boundary,corner_only,true,,1,3,1
162,1282878,zero_boundary,corner_only,true,,1,3,1
163,1290797,zero_boundary,corner_only,true,,1,3,1
164,1298716,zero_boundary,corner_only,true,,1,3,1
165,1306635,zero_boundary,corner_only,true,,1,3,1
166,1314554,zero_boundary,corner_only,true,,1,3,1
167,1322473,zero_boundary,corner_only,true,,1,3,1
168,1330392,zero_boundary,corner_only,true,,1,3,1
169,1338311,zero_boundary,corner_only,true,,1,3,1
170,1346230,zero_boundary,corner_only,true,,1,3,4
171,1354149,zero_boundary,corner_only,true,,1,3,1
172,1362068,zero_boundary,corner_only,true,,1,3,1
173,1369987,zero_boundary,corner_only,true,,1,3,1
174,1377906,zero_boundary,corner_only,true,,1,3,1
175,1385825,zero_boundary,corner_only,true,,1,3,1
176,1393744,zero_boundary,corner_only,true,,1,3,1
177,1401663,zero_boundary,corner_only,true,,1,3,1
178,1409582,zero_boundary,corner_only,true,,1,3,2
179,1417501,zero_boundary,corner_only,true,,1,3,1
180,1425420,zero_boundary,corner_only,true,,1,3,4
181,1433339,zero_boundary,corner_only,true,,1,3,1
182,1441258,zero_boundary,corner_only,true,,1,3,2
183,1449177,zero_boundary,corner_only,true,,1,3,1
184,1457096,zero_boundary,corner_only,true,,1,3,1
185,1465015,zero_boundary,corner_only,true,,1,3,1
186,1472934,zero_boundary,corner_only,true,,1,3,1
187,1480853,zero_boundary,corner_only,true,,1,3,1
188,1488772,zero_boundary,corner_only,true,,1,3,5
189,1496691,zero_boundary,corner_only,true,,1,3,1
190,1504610,zero_boundary,corner_only,true,,1,3,1
191,1512529,zero_boundary,corner_only,true,,1,3,1
192,1520448,zero_boundary,corner_only,true,,1,3,1
193,1528367,zero_boundary,corner_only,true,,1,3,2
194,1536286,zero_boundary,corner_only,true,,1,3,1
195,1544205,zero_boundary,corner_only,true,,1,3,1
