trial_id,seed,quantifier_order,initial_a,initial_b,initial_c,final_a,final_b,final_c,elapsed_micros
302,2391538,bac,94,4,100,53,0,99,25542
303,2399457,bac,45,65,61,52,0,99,19724
304,2407376,bac,99,84,12,53,0,99,25617
305,2415295,bac,95,100,67,52,0,99,17310
306,2423214,bac,93,16,74,52,0,99,13958
307,2431133,bac,82,73,51,52,0,100,13761
308,2439052,bac,31,85,78,52,0,100,26147
309,2446971,bac,24,58,99,53,0,98,20399
310,2454890,bac,23,76,81,54,0,97,18907
311,2462809,bac,41,48,91,55,0,98,17311
312,2470728,bac,69,62,51,53,0,98,22006
313,2478647,bac,18,84,52,51,0,100,19919
314,2486566,bac,91,37,30,52,0,99,16079
315,2494485,bac,74,81,70,55,0,96,18026
316,2502404,bac,74,80,47,52,0,99,24824
317,2510323,bac,90,30,81,53,0,99,31404
318,2518242,bac,84,69,7,56,0,95,104391
319,2526161,bac,94,42,38,53,0,98,24313
320,2534080,bac,85,7,80,52,0,99,22298
321,2541999,bac,61,56,97,52,0,99,25593
322,2549918,bac,96,76,78,55,0,96,20903
323,2557837,bac,58,80,62,55,0,97,20392
324,2565756,bac,74,71,62,53,0,98,13218
325,2573675,bac,42,42,73,52,0,100,12794
326,2581594,bac,98,41,67,56,0,95,14270
327,2589513,bac,77,40,37,53,0,98,25315
328,2597432,bac,84,17,66,51,0,100,25439
329,2605351,bac,97,16,92,52,0,99,25403
330,2613270,bac,25,84,49,52,0,100,25348
331,2621189,bac,22,36,93,54,0,99,23915
332,2629108,bac,52,32,67,53,0,98,16568
333,2637027,bac,39,75,94,55,0,96,25602
334,2644946,bac,60,57,52,55,0,97,25786
335,2652865,bac,90,0,70,52,0,99,19131
336,2660784,bac,37,79,88,51,0,100,14968
337,2668703,bac,71,95,75,55,0,98,16107
338,2676622,bac,54,26,75,52,0,99,25685
339,2684541,bac,42,100,34,53,0,98,24118
340,2692460,bac,57,61,63,54,0,97,29437
341,2700379,bac,17,50,97,56,0,95,25793
342,2708298,bac,73,16,92,52,0,99,19176
343,2716217,bac,4,93,63,52,0,99,25650
344,2724136,bac,40,45,90,51,0,100,21046
345,2732055,bac,48,48,72,52,0,99,19122
346,2739974,bac,87,70,68,54,0,97,20272
347,2747893,bac,100,8,58,51,0,100,13640
348,2755812,bac,37,74,81,53,0,98,25707
349,2763731,bac,53,49,74,51,0,100,19875
350,2771650,bac,27,90,58,53,0,98,25248
351,2779569,bac,85,20,87,54,0,97,14438
352,2787488,bac,34,61,90,54,0,98,11973
353,2795407,bac,31,93,92,53,0,98,14733
354,2803326,bac,35,49,85,52,0,100,20359
355,2811245,bac,81,57,53,53,0,98,25706
356,2819164,bac,98,39,64,53,0,98,18033
357,2827083,bac,76,100,64,54,0,98,18622
358,2835002,bac,58,96,72,53,0,98,25693
359,2842921,bac,57,23,85,56,0,95,25521
360,2850840,bac,76,49,40,53,0,98,23738
361,2858759,bac,94,74,64,52,0,99,21760
362,2866678,bac,54,84,70,53,0,98,22087
363,2874597,bac,74,13,77,52,0,99,19297
364,2882516,bac,91,23,79,55,0,96,25286
365,2890435,bac,47,81,37,54,0,97,25371
366,2898354,bac,88,37,66,57,0,94,12498
367,2906273,bac,87,7,93,52,0,99,19031
368,2914192,bac,99,3,77,54,0,97,24947
369,2922111,bac,39,43,72,53,0,98,15102
370,2930030,bac,63,35,58,54,0,97,25551
371,2937949,bac,33,45,79,51,0,100,19361
372,2945868,bac,30,79,77,53,0,98,19638
373,2953787,bac,53,75,53,0,0,0,143
374,2961706,bac,27,37,99,51,0,100,26166
375,2969625,bac,96,91,39,53,0,98,25020
376,2977544,bac,64,7,84,52,0,99,18487
377,2985463,bac,25,40,100,55,0,99,17597
378,2993382,bac,40,62,57,52,0,99,17747
379,3001301,bac,33,29,96,52,0,99,25396
380,3009220,bac,26,54,97,53,0,98,25231
381,3017139,bac,69,12,92,51,0,100,25722
382,3025058,bac,93,66,25,55,0,97,16614
383,3032977,bac,7,73,90,52,0,99,25129
384,3040896,bac,30,86,94,56,0,95,18344
385,3048815,bac,92,62,5,56,0,95,14634
386,3056734,bac,22,44,95,55,0,96,18543
387,3064653,bac,43,17,95,54,0,99,24699
388,3072572,bac,92,18,69,52,0,99,25265
389,3080491,bac,25,96,37,52,0,99,13150
390,3088410,bac,67,34,75,52,0,99,18717
391,3096329,bac,90,90,45,51,0,100,21868
392,3104248,bac,94,14,60,53,0,98,17990
393,3112167,bac,79,99,3,52,0,100,15751
394,3120086,bac,71,72,78,53,0,98,24966
395,3128005,bac,85,58,59,54,0,97,17801
396,3135924,bac,21,85,97,55,0,96,13392
397,3143843,bac,99,63,52,52,0,99,18396
398,3151762,bac,39,68,86,51,0,100,24823
399,3159681,bac,97,51,9,54,0,97,15010
400,3167600,cab,29,85,59,58,93,0,12791
401,3175519,cab,89,63,8,54,97,0,22017
402,3183438,cab,93,47,43,51,100,0,20859
403,3191357,cab,68,13,81,56,95,0,23713
404,3199276,cab,60,26,83,52,99,0,15537
405,3207195,cab,57,91,94,51,100,0,20397
406,3215114,cab,67,87,0,52,99,0,25207
407,3223033,cab,87,49,74,52,99,0,15891
408,3230952,cab,46,70,42,56,95,0,19082
409,3238871,cab,43,59,70,52,100,0,25402
410,3246790,cab,61,75,48,51,100,0,12804
411,3254709,cab,61,85,27,51,100,0,16328
412,3262628,cab,97,53,70,53,98,0,15890
413,3270547,cab,59,93,11,52,99,0,15977
414,3278466,cab,100,19,99,51,100,0,18279
415,3286385,cab,45,42,78,51,100,0,25607
416,3294304,cab,95,49,75,57,94,0,11761
417,3302223,cab,88,100,12,53,98,0,22768
418,3310142,cab,63,82,16,54,97,0,25190
419,3318061,cab,66,61,74,54,97,0,25570
420,3325980,cab,99,38,32,55,96,0,21554
421,3333899,cab,68,84,10,55,96,0,17394
422,3341818,cab,69,85,48,52,99,0,13316
423,3349737,cab,84,58,31,53,98,0,25843
424,3357656,cab,39,67,81,56,95,0,15343
425,3365575,cab,28,94,43,54,97,0,20236
426,3373494,cab,67,34,51,54,97,0,21074
427,3381413,cab,96,94,21,54,97,0,16414
428,3389332,cab,5,98,63,51,100,0,13850
429,3397251,cab,20,87,90,51,100,0,18563
430,3405170,cab,68,49,35,52,99,0,20970
431,3413089,cab,32,60,76,52,99,0,15196
432,3421008,cab,16,48,93,51,100,0,13222
433,3428927,cab,50,99,5,51,100,0,15759
434,3436846,cab,44,66,79,53,100,0,14347
435,3444765,cab,94,20,89,55,96,0,12253
436,3452684,cab,13,89,79,56,96,0,24746
437,3460603,cab,51,59,97,51,100,0,16844
438,3468522,cab,96,97,0,52,100,0,16874
439,3476441,cab,37,42,89,54,97,0,13150
440,3484360,cab,89,25,87,51,100,0,21012
441,3492279,cab,51,89,56,55,96,0,25327
442,3500198,cab,54,71,31,53,99,0,17975
443,3508117,cab,3,62,91,51,100,0,13364
444,3516036,cab,24,47,83,53,98,0,19976
445,3523955,cab,44,93,19,54,97,0,25180
446,3531874,cab,80,62,17,52,100,0,24874
447,3539793,cab,59,73,47,53,98,0,24686
448,3547712,cab,59,69,40,51,100,0,25708
449,3555631,cab,50,96,13,51,100,0,21938
450,3563550,cab,79,82,66,58,93,0,12317
451,3571469,cab,97,60,2,51,100,0,13910
452,3579388,cab,72,71,9,53,99,0,25374
453,3587307,cab,89,97,86,51,100,0,19543
454,3595226,cab,8,92,85,53,98,0,12970
455,3603145,cab,92,82,39,52,99,0,12795
456,3611064,cab,63,100,81,53,99,0,25029
457,3618983,cab,85,75,95,52,99,0,12425
458,3626902,cab,4,99,58,54,97,0,11386
459,3634821,cab,41,86,52,53,98,0,24875
460,3642740,cab,72,14,94,52,99,0,25145
461,3650659,cab,66,69,35,54,97,0,15249
462,3658578,cab,64,74,20,55,96,0,12129
463,3666497,cab,100,62,28,52,99,0,15339
464,3674416,cab,59,56,47,54,97,0,24986
465,3682335,cab,80,97,88,55,100,0,13592
466,3690254,cab,61,31,80,54,98,0,25342
467,3698173,cab,99,83,33,52,100,0,25201
468,3706092,cab,10,100,63,55,96,0,20540
469,3714011,cab,13,75,69,54,98,0,16971
470,3721930,cab,97,35,36,52,99,0,21273
471,3729849,cab,84,61,41,56,95,0,20206
472,3737768,cab,79,57,23,53,98,0,21765
473,3745687,cab,86,23,78,52,99,0,21774
474,3753606,cab,83,14,57,53,99,0,25727
475,3761525,cab,91,99,4,51,100,0,13165
476,3769444,cab,68,84,23,52,99,0,12162
477,3777363,cab,33,69,67,51,100,0,16997
478,3785282,cab,98,77,82,52,99,0,13866
479,3793201,cab,41,98,75,53,98,0,25271
480,3801120,cab,29,64,99,53,98,0,21681
481,3809039,cab,72,87,91,51,100,0,12379
482,3816958,cab,57,90,47,54,97,0,17458
483,3824877,cab,64,87,0,52,100,0,14632
484,3832796,cab,86,45,78,51,100,0,14693
485,3840715,cab,88,75,4,53,98,0,21862
486,3848634,cab,88,35,62,52,99,0,23241
487,3856553,cab,62,59,39,55,98,0,25303
488,3864472,cab,91,75,0,51,100,0,13859
489,3872391,cab,56,99,10,54,98,0,19973
490,3880310,cab,22,65,80,52,99,0,25352
491,3888229,cab,73,55,30,53,98,0,17073
492,3896148,cab,86,93,32,55,97,0,24325
493,3904067,cab,52,44,87,51,100,0,14438
494,3911986,cab,6,99,72,56,98,0,13021
495,3919905,cab,87,52,90,52,99,0,13620
496,3927824,cab,48,77,30,55,96,0,11649
497,3935743,cab,37,53,95,56,95,0,19721
498,3943662,cab,94,53,25,55,96,0,15555
499,3951581,cab,95,89,8,54,97,0,25655
500,3959500,cab,70,17,89,51,100,0,25505
501,3967419,cab,46,47,94,51,100,0,19773
502,3975338,cab,73,46,77,52,99,0,25296
503,3983257,cab,99,46,10,53,98,0,22334
504,3991176,cab,31,71,89,52,99,0,16421
505,3999095,cab,57,96,8,52,99,0,15616
506,4007014,cab,98,79,11,51,100,0,20012
507,4014933,cab,39,72,54,53,99,0,24833
508,4022852,cab,35,26,96,54,97,0,15100
509,4030771,cab,72,50,89,53,98,0,16931
510,4038690,cab,84,55,43,54,97,0,12983
511,4046609,cab,15,61,100,0,0,0,160
512,4054528,cab,58,79,48,51,100,0,15400
513,4062447,cab,69,62,81,56,95,0,13967
514,4070366,cab,42,91,26,51,100,0,12620
515,4078285,cab,13,63,87,54,98,0,22525
516,4086204,cab,59,79,31,53,98,0,24373
517,4094123,cab,70,93,35,52,99,0,25880
518,4102042,cab,56,89,46,54,99,0,19639
519,4109961,cab,82,72,3,53,98,0,16733
520,4117880,cab,62,37,70,53,98,0,11606
521,4125799,cab,93,48,66,55,96,0,20898
522,4133718,cab,61,48,55,52,99,0,25964
523,4141637,cab,3,86,89,52,99,0,25650
524,4149556,cab,84,88,21,57,94,0,11958
525,4157475,cab,46,64,52,51,100,0,11748
526,4165394,cab,78,92,36,51,100,0,14879
527,4173313,cab,43,94,48,53,98,0,21439
528,4181232,cab,51,98,66,52,99,0,13439
529,4189151,cab,89,59,3,56,95,0,14916
530,4197070,cab,99,69,19,52,99,0,23746
531,4204989,cab,17,100,91,52,100,0,17033
532,4212908,cab,33,75,73,55,97,0,24845
533,4220827,cab,91,93,95,54,97,0,17959
534,4228746,cab,39,97,57,53,99,0,16158
535,4236665,cab,67,45,44,52,99,0,25362
536,4244584,cab,23,61,95,53,98,0,25349
537,4252503,cab,73,93,4,54,97,0,21446
538,4260422,cab,17,83,51,55,96,0,17410
539,4268341,cab,69,59,72,55,96,0,12938
540,4276260,cab,57,99,29,57,95,0,18768
541,4284179,cab,46,67,39,52,99,0,25150
542,4292098,cab,41,26,98,52,99,0,23433
543,4300017,cab,100,98,32,52,100,0,14143
544,4307936,cab,94,86,82,52,99,0,18783
545,4315855,cab,48,53,50,52,99,0,24748
546,4323774,cab,38,42,72,53,99,0,17372
547,4331693,cab,63,11,90,55,96,0,25198
548,4339612,cab,86,37,53,54,98,0,11756
549,4347531,cab,56,94,14,54,97,0,25651
550,4355450,cab,74,96,87,52,99,0,20421
551,4363369,cab,30,99,89,52,99,0,13319
552,4371288,cab,93,90,71,54,97,0,25763
553,4379207,cab,50,91,58,55,96,0,22526
554,4387126,cab,87,49,98,56,95,0,25759
555,4395045,cab,25,100,48,55,96,0,13082
556,4402964,cab,7,83,61,54,97,0,25576
557,4410883,cab,89,52,22,52,99,0,14261
558,4418802,cab,97,22,32,51,100,0,25344
559,4426721,cab,63,80,63,51,100,0,16372
560,4434640,cab,37,91,33,54,98,0,18558
561,4442559,cab,84,54,76,53,98,0,14174
562,4450478,cab,94,90,18,52,100,0,12836
563,4458397,cab,47,32,95,51,100,0,25471
564,4466316,cab,49,66,41,54,97,0,25457
565,4474235,cab,90,74,20,58,94,0,11309
566,4482154,cab,52,70,52,54,97,0,20931
567,4490073,cab,62,90,52,51,100,0,21614
568,4497992,cab,94,38,92,52,99,0,20683
569,4505911,cab,78,51,63,55,96,0,21378
570,4513830,cab,79,91,0,53,98,0,22708
571,4521749,cab,18,52,93,51,100,0,21549
572,4529668,cab,45,39,82,52,99,0,19410
573,4537587,cab,85,96,97,59,92,0,11891
574,4545506,cab,74,64,53,53,98,0,25489
575,4553425,cab,85,71,49,53,98,0,25489
576,4561344,cab,51,87,80,53,98,0,18077
577,4569263,cab,69,99,33,53,99,0,19588
