trial_id,seed,cache_enabled,bug_type,bug_detected,unique_values_seen,elapsed_micros
0,0,true,any_value,false,0,2831
1,7919,true,any_value,false,0,330
2,15838,true,any_value,false,0,321
3,23757,true,any_value,false,0,351
4,31676,true,any_value,false,0,257
5,39595,true,any_value,false,0,225
6,47514,true,any_value,true,0,326
7,55433,true,any_value,false,0,302
8,63352,true,any_value,false,0,261
9,71271,true,any_value,false,0,335
10,79190,true,any_value,true,0,80
11,87109,true,any_value,false,0,206
12,95028,true,any_value,true,0,59
13,102947,true,any_value,true,0,51
14,110866,true,any_value,false,0,184
15,118785,true,any_value,false,0,177
16,126704,true,any_value,false,0,179
17,134623,true,any_value,false,0,442
18,142542,true,any_value,false,0,152
19,150461,true,any_value,false,0,140
20,158380,true,any_value,false,0,132
21,166299,true,any_value,false,0,131
22,174218,true,any_value,false,0,140
23,182137,true,any_value,false,0,128
24,190056,true,any_value,false,0,119
25,197975,true,any_value,false,0,146
26,205894,true,any_value,false,0,150
27,213813,true,any_value,false,0,162
28,221732,true,any_value,false,0,155
29,229651,true,any_value,false,0,132
30,237570,true,any_value,false,0,134
31,245489,true,any_value,false,0,141
32,253408,true,any_value,false,0,131
33,261327,true,any_value,false,0,299
34,269246,true,any_value,false,0,128
35,277165,true,any_value,true,0,49
36,285084,true,any_value,false,0,109
37,293003,true,any_value,true,0,38
38,300922,true,any_value,false,0,106
39,308841,true,any_value,false,0,111
40,316760,true,any_value,false,0,111
41,324679,true,any_value,false,0,109
42,332598,true,any_value,false,0,101
43,340517,true,any_value,false,0,131
44,348436,true,any_value,false,0,109
45,356355,true,any_value,false,0,106
46,364274,true,any_value,true,0,37
47,372193,true,any_value,false,0,104
48,380112,true,any_value,false,0,102
49,388031,true,any_value,false,0,106
50,395950,true,any_value,true,0,32
51,403869,true,any_value,false,0,113
52,411788,true,any_value,false,0,112
53,419707,true,any_value,false,0,245
54,427626,true,any_value,false,0,127
55,435545,true,any_value,false,0,111
56,443464,true,any_value,true,0,52
57,451383,true,any_value,false,0,114
58,459302,true,any_value,false,0,105
59,467221,true,any_value,false,0,105
60,475140,true,any_value,false,0,101
61,483059,true,any_value,false,0,101
62,490978,true,any_value,false,0,109
63,498897,true,any_value,false,0,98
64,506816,true,any_value,false,0,96
65,514735,true,any_value,false,0,103
66,522654,true,any_value,false,0,102
67,530573,true,any_value,false,0,104
68,538492,true,any_value,true,0,49
69,546411,true,any_value,false,0,100
70,554330,true,any_value,false,0,106
71,562249,true,any_value,false,0,224
72,570168,true,any_value,true,0,61
73,578087,true,any_value,false,0,112
74,586006,true,any_value,false,0,110
75,593925,true,any_value,false,0,119
76,601844,true,any_value,true,0,25
77,609763,true,any_value,false,0,99
78,617682,true,any_value,false,0,110
79,625601,true,any_value,false,0,108
80,633520,true,any_value,false,0,113
81,641439,true,any_value,false,0,111
82,649358,true,any_value,true,0,24
83,657277,true,any_value,false,0,104
84,665196,true,any_value,true,0,32
85,673115,true,any_value,false,0,122
86,681034,true,any_value,false,0,100
87,688953,true,any_value,false,0,100
88,696872,true,any_value,true,0,24
89,704791,true,any_value,false,0,104
90,712710,true,any_value,false,0,102
91,720629,true,any_value,false,0,102
92,728548,true,any_value,false,0,118
93,736467,true,any_value,false,0,191
