trial_id,seed,scenario,true_size,estimated_size,ci_lower,ci_upper,ci_width,true_in_ci,warmup_samples,relative_error
84,665196,filter_10pct,100,91,82.00,102.00,20.00,true,200,0.090000
85,673115,filter_10pct,100,95,85.00,107.00,22.00,true,200,0.050000
86,681034,filter_10pct,100,95,85.00,106.00,21.00,true,200,0.050000
87,688953,filter_10pct,100,96,86.00,107.00,21.00,true,200,0.040000
88,696872,filter_10pct,100,110,99.00,123.00,24.00,true,200,0.100000
89,704791,filter_10pct,100,94,84.00,105.00,21.00,true,200,0.060000
90,712710,filter_10pct,100,94,84.00,105.00,21.00,true,200,0.060000
91,720629,filter_10pct,100,93,83.00,104.00,21.00,true,200,0.070000
92,728548,filter_10pct,100,106,95.00,118.00,23.00,true,200,0.060000
93,736467,filter_10pct,100,104,93.00,116.00,23.00,true,200,0.040000
94,744386,filter_10pct,100,101,90.00,113.00,23.00,true,200,0.010000
95,752305,filter_10pct,100,97,87.00,109.00,22.00,true,200,0.030000
96,760224,filter_10pct,100,100,89.00,112.00,23.00,true,200,0.000000
97,768143,filter_10pct,100,91,82.00,102.00,20.00,true,200,0.090000
98,776062,filter_10pct,100,103,92.00,115.00,23.00,true,200,0.030000
99,783981,filter_10pct,100,103,92.00,115.00,23.00,true,200,0.030000
100,791900,filter_10pct,100,94,84.00,105.00,21.00,true,200,0.060000
101,799819,filter_10pct,100,111,99.00,123.00,24.00,true,200,0.110000
102,807738,filter_10pct,100,106,95.00,119.00,24.00,true,200,0.060000
103,815657,filter_10pct,100,101,91.00,113.00,22.00,true,200,0.010000
104,823576,filter_10pct,100,94,84.00,105.00,21.00,true,200,0.060000
105,831495,filter_10pct,100,103,92.00,115.00,23.00,true,200,0.030000
106,839414,filter_10pct,100,106,94.00,118.00,24.00,true,200,0.060000
107,847333,filter_10pct,100,88,79.00,99.00,20.00,false,200,0.120000
108,855252,filter_10pct,100,105,94.00,118.00,24.00,true,200,0.050000
109,863171,filter_10pct,100,98,88.00,110.00,22.00,true,200,0.020000
110,871090,filter_10pct,100,109,98.00,122.00,24.00,true,200,0.090000
111,879009,filter_10pct,100,100,89.00,112.00,23.00,true,200,0.000000
112,886928,filter_10pct,100,98,88.00,110.00,22.00,true,200,0.020000
113,894847,filter_10pct,100,99,89.00,111.00,22.00,true,200,0.010000
114,902766,filter_10pct,100,100,89.00,112.00,23.00,true,200,0.000000
115,910685,filter_10pct,100,95,85.00,107.00,22.00,true,200,0.050000
116,918604,filter_10pct,100,100,90.00,112.00,22.00,true,200,0.000000
117,926523,filter_10pct,100,88,78.00,98.00,20.00,false,200,0.120000
118,934442,filter_10pct,100,93,83.00,104.00,21.00,true,200,0.070000
119,942361,filter_10pct,100,99,89.00,111.00,22.00,true,200,0.010000
120,950280,filter_10pct,100,94,84.00,106.00,22.00,true,200,0.060000
121,958199,filter_10pct,100,99,88.00,111.00,23.00,true,200,0.010000
122,966118,filter_10pct,100,108,97.00,121.00,24.00,true,200,0.080000
