scenario,pass_rate,true_size,estimated_size,ci_lower,ci_upper,ci_width,covered,relative_error
product_independent,0.5,250000,241920,175440,319634,144194,true,0.03232
product_independent,0.5,250000,269433,196445,351390,154945,true,0.077732
product_independent,0.5,250000,282500,206610,367934,161324,true,0.13
product_independent,0.5,250000,295148,216500,383031,166531,true,0.180592
product_independent,0.5,250000,272489,199000,356094,157094,true,0.089956
product_independent,0.5,250000,282500,206610,367934,161324,true,0.13
product_independent,0.5,250000,232848,168560,308652,140092,true,0.068608
product_independent,0.5,250000,368935,275500,467127,191627,false,0.47574
product_independent,0.5,250000,260604,189221,342221,153000,true,0.042416
product_independent,0.5,250000,309468,228355,399030,170675,true,0.237872
product_independent,0.5,250000,234684,169695,310734,141039,true,0.061264
product_independent,0.5,250000,292410,214130,379202,165072,true,0.16964
product_independent,0.5,250000,248292,180044,326959,146915,true,0.006832
product_independent,0.5,250000,256800,186864,337883,151019,true,0.0272
product_independent,0.5,250000,327709,242525,420180,177655,true,0.310836
product_independent,0.5,250000,265104,193070,347378,154308,true,0.060416
product_independent,0.5,250000,295680,217464,382676,165212,true,0.18272
product_independent,0.5,250000,291500,213834,378750,164916,true,0.166
product_independent,0.5,250000,286225,209764,373321,163557,true,0.1449
product_independent,0.5,250000,282240,206400,367608,161208,true,0.12896
product_independent,0.5,250000,270840,197540,354060,156520,true,0.08336
product_independent,0.5,250000,352425,262276,447930,185654,false,0.4097
product_independent,0.5,250000,331170,245000,424422,179422,true,0.32468
product_independent,0.5,250000,277020,201894,361005,159111,true,0.10808
product_independent,0.5,250000,240000,173808,317422,143614,true,0.04
product_independent,0.5,250000,306024,225841,395634,169793,true,0.224096
product_independent,0.5,250000,323300,239258,415716,176458,true,0.2932
product_independent,0.5,250000,263000,191274,344974,153700,true,0.052
product_independent,0.5,250000,307930,227000,398142,171142,true,0.23172
product_independent,0.5,250000,295148,216500,383031,166531,true,0.180592
product_independent,0.5,250000,263220,191902,345826,153924,true,0.05288
