trial_id,seed,strategy,quantifier_order,budget,final_pos1,distance_pos1,optimal_pos1,final_pos2,distance_pos2,optimal_pos2,final_pos3,distance_pos3,optimal_pos3,final_pos4,distance_pos4,optimal_pos4,final_pos5,distance_pos5,optimal_pos5,variance,mean_distance,total_distance,attempts,rounds,elapsed_micros
33,261327,sequential-exhaustive,abcde,100,10,0,1,2519600,2519590,0,2254710,2254700,0,6874024,6874014,0,3437039,3437029,0,4996757666591.841,3017066.6,15085333,0,0,3812
34,269246,sequential-exhaustive,abcde,100,10,0,1,6254141,6254131,0,109375,109365,0,4908091,4908081,0,8970759,8970749,0,12347871922778.559,4048465.2,20242326,0,0,3885
35,277165,sequential-exhaustive,abcde,100,10,0,1,2375061,2375051,0,2266375,2266365,0,6936836,6936826,0,8473443,8473433,0,10056393052893.2,4010335,20051675,0,0,3716
36,285084,sequential-exhaustive,abcde,100,10,0,1,1881993,1881983,0,3284791,3284781,0,1655163,1655153,0,5478668,5478658,0,3365208419699.6,2460115,12300575,0,0,3820
37,293003,sequential-exhaustive,abcde,100,10,0,1,6766074,6766064,0,9938891,9938881,0,7965801,7965791,0,4226327,4226317,0,11773724961493.041,5779410.6,28897053,0,0,3856
38,300922,sequential-exhaustive,abcde,100,10,0,1,302327,302317,0,3097300,3097290,0,8069144,8069134,0,8011187,8011177,0,12616208058105.84,3895983.6,19479918,0,0,4123
39,308841,sequential-exhaustive,abcde,100,10,0,1,7124542,7124532,0,8613008,8612998,0,7047843,7047833,0,8770184,8770174,0,10476041936303.84,6311107.4,31555537,0,0,4042
40,316760,sequential-exhaustive,abcde,100,10,0,1,9464826,9464816,0,7383270,7383260,0,7491338,7491328,0,2240147,2240137,0,12787815833934.559,5315908.2,26579541,0,0,3707
41,324679,sequential-exhaustive,abcde,100,10,0,1,8748310,8748300,0,8648877,8648867,0,4684209,4684199,0,1708764,1708754,0,12600650370985.2,4758024,23790120,0,0,3992
42,332598,sequential-exhaustive,abcde,100,10,0,1,7582769,7582759,0,1683171,1683161,0,2401631,2401621,0,2997371,2997361,0,6414270252408.639,2932980.4,14664902,0,0,3837
43,340517,sequential-exhaustive,abcde,100,10,0,1,7688416,7688406,0,3072826,3072816,0,3632618,3632608,0,7112471,7112461,0,7966523366708.159,4301258.2,21506291,0,0,3728
44,348436,sequential-exhaustive,abcde,100,10,0,1,3284287,3284277,0,5347561,5347551,0,9456760,9456750,0,1509338,1509328,0,10855076953489.361,3919581.2,19597906,0,0,3880
45,356355,sequential-exhaustive,abcde,100,10,0,1,5680222,5680212,0,6173722,6173712,0,6988000,6987990,0,511451,511441,0,8912526881852.8,3870671,19353355,0,0,3631
46,364274,sequential-exhaustive,abcde,100,10,0,1,6386944,6386934,0,2070336,2070326,0,3521170,3521160,0,6607248,6607238,0,6409600148456.639,3717131.6,18585658,0,0,3886
47,372193,sequential-exhaustive,abcde,100,10,0,1,184514,184504,0,3439945,3439935,0,2088772,2088762,0,244608,244598,0,1838175123921.7603,1191559.8,5957799,0,0,4269
48,380112,sequential-exhaustive,abcde,100,10,0,1,739214,739204,0,973784,973774,0,3142396,3142386,0,4766102,4766092,0,3114079594032.9595,1924291.2,9621456,0,0,4167
49,388031,sequential-exhaustive,abcde,100,10,0,1,631985,631975,0,9862331,9862321,0,8392001,8391991,0,218340,218330,0,19028134139461.836,3820923.4,19104617,0,0,3840
50,395950,sequential-exhaustive,abcde,500,10,0,1,34192,34182,0,9539656,9539646,0,8940265,8940255,0,9223491,9223481,0,20426456821201.363,5547512.8,27737564,0,0,26242
51,403869,sequential-exhaustive,abcde,500,10,0,1,104896,104886,0,5980,5970,0,4498563,4498553,0,6124805,6124795,0,6943300499401.36,2146840.8,10734204,0,0,25445
52,411788,sequential-exhaustive,abcde,500,10,0,1,558685,558675,0,966910,966900,0,3236560,3236550,0,8944752,8944742,0,10831007624710.238,2741373.4,13706867,0,0,25842
53,419707,sequential-exhaustive,abcde,500,10,0,1,16487,16477,0,9122359,9122349,0,1856654,1856644,0,6711457,6711447,0,13800237723379.44,3541383.4,17706917,0,0,25672
