trial_id,seed,depth,true_size,estimated_size,ci_lower,ci_upper,ci_width,relative_width,true_in_ci,relative_error,oracle_lower,oracle_upper,oracle_width,true_in_oracle,width_ratio_vs_oracle
50,395950,1,50,49,45.00,54.00,9.00,0.1800,true,0.020000,44.46,55.98,11.52,true,0.7813
51,403869,1,50,49,44.00,53.00,9.00,0.1800,true,0.020000,44.53,56.00,11.47,true,0.7849
52,411788,1,50,45,41.00,49.00,8.00,0.1600,false,0.100000,44.55,55.88,11.33,true,0.7061
53,419707,1,50,49,45.00,54.00,9.00,0.1800,true,0.020000,44.52,56.06,11.54,true,0.7801
54,427626,1,50,43,39.00,48.00,9.00,0.1800,false,0.140000,44.59,56.03,11.44,true,0.7870
55,435545,1,50,52,47.00,56.00,9.00,0.1800,true,0.040000,44.49,55.97,11.49,true,0.7836
56,443464,1,50,54,49.00,59.00,10.00,0.2000,true,0.080000,44.43,56.10,11.67,true,0.8568
57,451383,1,50,49,45.00,54.00,9.00,0.1800,true,0.020000,44.53,55.91,11.38,true,0.7911
58,459302,1,50,49,44.00,53.00,9.00,0.1800,true,0.020000,44.46,55.86,11.40,true,0.7893
59,467221,1,50,50,45.00,54.00,9.00,0.1800,true,0.000000,44.42,55.95,11.53,true,0.7807
60,475140,1,50,53,48.00,57.00,9.00,0.1800,true,0.060000,44.52,56.03,11.51,true,0.7817
61,483059,1,50,54,49.00,58.00,9.00,0.1800,true,0.080000,44.63,56.10,11.47,true,0.7846
62,490978,1,50,52,48.00,57.00,9.00,0.1800,true,0.040000,44.52,56.04,11.52,true,0.7816
63,498897,1,50,52,48.00,57.00,9.00,0.1800,true,0.040000,44.40,55.86,11.46,true,0.7851
64,506816,1,50,47,42.00,51.00,9.00,0.1800,true,0.060000,44.43,56.00,11.56,true,0.7783
65,514735,1,50,51,47.00,56.00,9.00,0.1800,true,0.020000,44.45,56.07,11.62,true,0.7743
66,522654,1,50,49,45.00,53.00,8.00,0.1600,true,0.020000,44.66,55.90,11.24,true,0.7117
67,530573,1,50,48,44.00,52.00,8.00,0.1600,true,0.040000,44.51,55.96,11.46,true,0.6982
68,538492,1,50,48,44.00,53.00,9.00,0.1800,true,0.040000,44.40,55.94,11.54,true,0.7798
69,546411,1,50,50,45.00,54.00,9.00,0.1800,true,0.000000,44.45,56.03,11.58,true,0.7770
70,554330,1,50,52,48.00,57.00,9.00,0.1800,true,0.040000,44.61,55.98,11.37,true,0.7913
71,562249,1,50,52,47.00,56.00,9.00,0.1800,true,0.040000,44.51,55.90,11.40,true,0.7897
72,570168,1,50,54,49.00,59.00,10.00,0.2000,true,0.080000,44.53,55.94,11.41,true,0.8766
73,578087,1,50,51,47.00,56.00,9.00,0.1800,true,0.020000,44.51,55.93,11.43,true,0.7877
74,586006,1,50,52,48.00,57.00,9.00,0.1800,true,0.040000,44.48,55.99,11.51,true,0.7817
75,593925,1,50,52,48.00,57.00,9.00,0.1800,true,0.040000,44.42,56.10,11.69,true,0.7701
76,601844,1,50,48,44.00,52.00,8.00,0.1600,true,0.040000,44.48,55.97,11.49,true,0.6964
77,609763,1,50,48,43.00,52.00,9.00,0.1800,true,0.040000,44.49,56.18,11.69,true,0.7702
78,617682,1,50,52,47.00,56.00,9.00,0.1800,true,0.040000,44.46,56.05,11.59,true,0.7764
79,625601,1,50,51,46.00,55.00,9.00,0.1800,true,0.020000,44.40,56.01,11.62,true,0.7748
80,633520,1,50,47,42.00,51.00,9.00,0.1800,true,0.060000,44.51,56.10,11.60,true,0.7761
81,641439,1,50,50,45.00,54.00,9.00,0.1800,true,0.000000,44.56,56.01,11.45,true,0.7861
82,649358,1,50,49,45.00,54.00,9.00,0.1800,true,0.020000,44.50,56.04,11.55,true,0.7794
83,657277,1,50,48,43.00,52.00,9.00,0.1800,true,0.040000,44.52,56.07,11.55,true,0.7790
84,665196,1,50,46,42.00,50.00,8.00,0.1600,true,0.080000,44.38,56.11,11.73,true,0.6821
85,673115,1,50,49,45.00,54.00,9.00,0.1800,true,0.020000,44.46,56.07,11.61,true,0.7753
86,681034,1,50,50,45.00,54.00,9.00,0.1800,true,0.000000,44.45,55.96,11.51,true,0.7819
87,688953,1,50,53,49.00,58.00,9.00,0.1800,true,0.060000,44.54,55.94,11.40,true,0.7893
88,696872,1,50,52,48.00,57.00,9.00,0.1800,true,0.040000,44.50,55.99,11.49,true,0.7831
89,704791,1,50,54,49.00,59.00,10.00,0.2000,true,0.080000,44.44,55.96,11.52,true,0.8680
90,712710,1,50,52,47.00,56.00,9.00,0.1800,true,0.040000,44.49,56.00,11.51,true,0.7816
91,720629,1,50,54,49.00,59.00,10.00,0.2000,true,0.080000,44.52,55.97,11.45,true,0.8734
92,728548,1,50,49,44.00,53.00,9.00,0.1800,true,0.020000,44.47,55.97,11.50,true,0.7826
93,736467,1,50,51,46.00,55.00,9.00,0.1800,true,0.020000,44.47,56.00,11.53,true,0.7806
94,744386,1,50,53,49.00,58.00,9.00,0.1800,true,0.060000,44.51,55.87,11.36,true,0.7919
95,752305,1,50,52,47.00,57.00,10.00,0.2000,true,0.040000,44.54,56.04,11.49,true,0.8701
96,760224,1,50,46,42.00,51.00,9.00,0.1800,true,0.080000,44.57,55.99,11.42,true,0.7880
97,768143,1,50,52,48.00,57.00,9.00,0.1800,true,0.040000,44.49,55.91,11.43,true,0.7877
98,776062,1,50,49,45.00,53.00,8.00,0.1600,true,0.020000,44.51,55.95,11.44,true,0.6993
99,783981,1,50,49,45.00,54.00,9.00,0.1800,true,0.020000,44.39,55.93,11.54,true,0.7798
100,0,2,2500,2700,2254.00,3245.00,991.00,0.3964,true,0.080000,2129.64,2937.85,808.20,true,1.2262
101,7919,2,2500,2352,1980.00,2862.00,882.00,0.3528,true,0.059200,2122.65,2943.98,821.34,true,1.0739
102,15838,2,2500,2805,2350.00,3304.00,954.00,0.3816,true,0.122000,2122.04,2945.72,823.69,true,1.1582
103,23757,2,2500,2448,2021.00,2912.00,891.00,0.3564,true,0.020800,2129.72,2939.19,809.46,true,1.1007
104,31676,2,2500,2548,2112.00,3021.00,909.00,0.3636,true,0.019200,2117.90,2945.65,827.75,true,1.0982
105,39595,2,2500,2484,2058.00,2900.00,842.00,0.3368,true,0.006400,2130.14,2942.93,812.79,true,1.0359
