trial_id,seed,scenario,parent_base_max,parent_true_size,parent_pass_rate,parent_est_size,parent_ci_lower,parent_ci_upper,parent_true_in_ci,parent_ci_width,shrink_value,shrunk_true_size,shrunk_pass_rate,warmup0_est_size,warmup0_ci_lower,warmup0_ci_upper,warmup0_true_in_ci,warmup0_ci_width,warmup10_est_size,warmup10_ci_lower,warmup10_ci_upper,warmup10_true_in_ci,warmup10_ci_width,warmup50_est_size,warmup50_ci_lower,warmup50_ci_upper,warmup50_true_in_ci,warmup50_ci_width,warmup100_est_size,warmup100_ci_lower,warmup100_ci_upper,warmup100_true_in_ci,warmup100_ci_width
25,197975,same_pass_rate_mod2,999,500,0.5000,483,428.00,537.00,true,109.00,250,125,0.5000,120,79.00,161.00,true,82.00,146,111.00,177.00,true,66.00,156,134.00,175.00,false,41.00,144,128.00,159.00,false,31.00
26,205894,same_pass_rate_mod2,999,500,0.5000,544,486.00,601.00,true,115.00,250,125,0.5000,120,79.00,161.00,true,82.00,107,79.00,137.00,true,58.00,119,101.00,138.00,true,37.00,116,102.00,129.00,true,27.00
27,213813,same_pass_rate_mod2,999,500,0.5000,505,449.00,560.00,true,111.00,250,125,0.5000,120,79.00,161.00,true,82.00,128,96.00,159.00,true,63.00,108,91.00,126.00,true,35.00,108,95.00,121.00,false,26.00
28,221732,same_pass_rate_mod2,999,500,0.5000,487,432.00,542.00,true,110.00,250,125,0.5000,120,79.00,161.00,true,82.00,122,91.00,153.00,true,62.00,121,103.00,140.00,true,37.00,125,111.00,139.00,true,28.00
29,229651,same_pass_rate_mod2,999,500,0.5000,476,423.00,531.00,true,108.00,250,125,0.5000,120,79.00,161.00,true,82.00,135,102.00,166.00,true,64.00,124,105.00,143.00,true,38.00,133,119.00,148.00,true,29.00
30,237570,same_pass_rate_mod2,999,500,0.5000,563,504.00,621.00,false,117.00,250,125,0.5000,120,79.00,161.00,true,82.00,103,76.00,132.00,true,56.00,101,85.00,118.00,false,33.00,119,105.00,133.00,true,28.00
31,245489,same_pass_rate_mod2,999,500,0.5000,526,469.00,582.00,true,113.00,250,125,0.5000,120,79.00,161.00,true,82.00,122,91.00,153.00,true,62.00,129,110.00,148.00,true,38.00,116,102.00,129.00,true,27.00
32,253408,same_pass_rate_mod2,999,500,0.5000,512,455.00,567.00,true,112.00,250,125,0.5000,120,79.00,161.00,true,82.00,122,91.00,153.00,true,62.00,123,104.00,142.00,true,38.00,117,103.00,131.00,true,28.00
33,261327,same_pass_rate_mod2,999,500,0.5000,478,425.00,533.00,true,108.00,250,125,0.5000,120,79.00,161.00,true,82.00,112,83.00,142.00,true,59.00,107,90.00,125.00,true,35.00,112,99.00,125.00,true,26.00
34,269246,same_pass_rate_mod2,999,500,0.5000,534,476.00,590.00,true,114.00,250,125,0.5000,120,79.00,161.00,true,82.00,117,87.00,147.00,true,60.00,104,87.00,121.00,false,34.00,106,94.00,120.00,false,26.00
35,277165,same_pass_rate_mod2,999,500,0.5000,531,474.00,588.00,true,114.00,250,125,0.5000,120,79.00,161.00,true,82.00,119,89.00,150.00,true,61.00,125,106.00,144.00,true,38.00,133,119.00,148.00,true,29.00
