trial_id,seed,tests_run,bug_found,claimed_confidence,property_type,true_pass_rate,target_confidence,pass_rate_threshold,termination_reason,elapsed_micros
82,649358,100,false,1.000000,rare_failure,0.9990,0.95,0.8,confidence,111
83,657277,100,false,1.000000,rare_failure,0.9990,0.95,0.8,confidence,109
84,665196,100,false,1.000000,rare_failure,0.9990,0.95,0.8,confidence,117
85,673115,100,false,1.000000,rare_failure,0.9990,0.95,0.8,confidence,133
86,681034,100,false,1.000000,rare_failure,0.9990,0.95,0.8,confidence,124
87,688953,100,false,1.000000,rare_failure,0.9990,0.95,0.8,confidence,114
88,696872,100,false,1.000000,rare_failure,0.9990,0.95,0.8,confidence,112
89,704791,15,true,0.859263,rare_failure,0.9990,0.95,0.8,bugFound,159
90,712710,100,false,1.000000,rare_failure,0.9990,0.95,0.8,confidence,111
91,720629,100,false,1.000000,rare_failure,0.9990,0.95,0.8,confidence,112
92,728548,100,false,1.000000,rare_failure,0.9990,0.95,0.8,confidence,129
93,736467,100,false,1.000000,rare_failure,0.9990,0.95,0.8,confidence,110
94,744386,100,false,1.000000,rare_failure,0.9990,0.95,0.8,confidence,109
95,752305,100,false,1.000000,rare_failure,0.9990,0.95,0.8,confidence,104
96,760224,100,false,1.000000,rare_failure,0.9990,0.95,0.8,confidence,116
97,768143,100,false,1.000000,rare_failure,0.9990,0.95,0.8,confidence,156
98,776062,100,false,1.000000,rare_failure,0.9990,0.95,0.8,confidence,206
99,783981,100,false,1.000000,rare_failure,0.9990,0.95,0.8,confidence,217
100,791900,100,false,1.000000,uncommon_failure,0.9950,0.95,0.8,confidence,128
101,799819,100,false,1.000000,uncommon_failure,0.9950,0.95,0.8,confidence,307
102,807738,100,false,1.000000,uncommon_failure,0.9950,0.95,0.8,confidence,136
103,815657,100,false,1.000000,uncommon_failure,0.9950,0.95,0.8,confidence,114
104,823576,100,false,1.000000,uncommon_failure,0.9950,0.95,0.8,confidence,130
105,831495,100,false,1.000000,uncommon_failure,0.9950,0.95,0.8,confidence,122
106,839414,100,false,1.000000,uncommon_failure,0.9950,0.95,0.8,confidence,110
107,847333,100,false,1.000000,uncommon_failure,0.9950,0.95,0.8,confidence,106
108,855252,100,false,1.000000,uncommon_failure,0.9950,0.95,0.8,confidence,109
109,863171,8,true,0.563792,uncommon_failure,0.9950,0.95,0.8,bugFound,59
110,871090,70,true,0.999998,uncommon_failure,0.9950,0.95,0.8,bugFound,88
