trial_id,seed,scenario,true_size,estimated_size,ci_lower,ci_upper,true_in_ci,relative_error
98,776062,clustered_10pct,100,103,92.00,115.00,true,0.030000
99,783981,clustered_10pct,100,103,92.00,115.00,true,0.030000
100,0,modulo_even,500,472,433.00,511.00,true,0.056000
101,7919,modulo_even,500,516,475.00,557.00,true,0.032000
102,15838,modulo_even,500,466,427.00,505.00,true,0.068000
103,23757,modulo_even,500,510,469.00,550.00,true,0.020000
104,31676,modulo_even,500,498,457.00,538.00,true,0.004000
105,39595,modulo_even,500,512,471.00,553.00,true,0.024000
106,47514,modulo_even,500,513,472.00,554.00,true,0.026000
107,55433,modulo_even,500,534,492.00,576.00,true,0.068000
108,63352,modulo_even,500,482,442.00,522.00,true,0.036000
109,71271,modulo_even,500,517,476.00,558.00,true,0.034000
110,79190,modulo_even,500,477,438.00,517.00,true,0.046000
111,87109,modulo_even,500,462,423.00,501.00,true,0.076000
112,95028,modulo_even,500,487,448.00,527.00,true,0.026000
113,102947,modulo_even,500,516,475.00,557.00,true,0.032000
114,110866,modulo_even,500,498,457.00,538.00,true,0.004000
115,118785,modulo_even,500,477,438.00,517.00,true,0.046000
116,126704,modulo_even,500,536,494.00,577.00,true,0.072000
117,134623,modulo_even,500,526,485.00,567.00,true,0.052000
118,142542,modulo_even,500,484,444.00,524.00,true,0.032000
119,150461,modulo_even,500,500,460.00,540.00,true,0.000000
120,158380,modulo_even,500,498,457.00,538.00,true,0.004000
121,166299,modulo_even,500,487,448.00,527.00,true,0.026000
122,174218,modulo_even,500,558,515.00,600.00,false,0.116000
123,182137,modulo_even,500,502,462.00,543.00,true,0.004000
124,190056,modulo_even,500,505,464.00,545.00,true,0.010000
125,197975,modulo_even,500,494,454.00,534.00,true,0.012000
126,205894,modulo_even,500,536,494.00,577.00,true,0.072000
127,213813,modulo_even,500,473,434.00,513.00,true,0.054000
128,221732,modulo_even,500,477,438.00,517.00,true,0.046000
129,229651,modulo_even,500,501,461.00,542.00,true,0.002000
130,237570,modulo_even,500,544,502.00,585.00,false,0.088000
131,245489,modulo_even,500,536,494.00,577.00,true,0.072000
132,253408,modulo_even,500,492,452.00,532.00,true,0.016000
133,261327,modulo_even,500,470,431.00,509.00,true,0.060000
134,269246,modulo_even,500,524,482.00,565.00,true,0.048000
135,277165,modulo_even,500,538,496.00,580.00,true,0.076000
136,285084,modulo_even,500,490,450.00,530.00,true,0.020000
137,293003,modulo_even,500,517,476.00,558.00,true,0.034000
138,300922,modulo_even,500,512,471.00,553.00,true,0.024000
139,308841,modulo_even,500,554,511.00,596.00,false,0.108000
140,316760,modulo_even,500,499,458.00,539.00,true,0.002000
141,324679,modulo_even,500,485,445.00,525.00,true,0.030000
142,332598,modulo_even,500,485,445.00,525.00,true,0.030000
143,340517,modulo_even,500,484,444.00,524.00,true,0.032000
144,348436,modulo_even,500,480,440.00,519.00,true,0.040000
145,356355,modulo_even,500,480,440.00,519.00,true,0.040000
146,364274,modulo_even,500,490,450.00,530.00,true,0.020000
147,372193,modulo_even,500,512,471.00,553.00,true,0.024000
148,380112,modulo_even,500,477,438.00,517.00,true,0.046000
149,388031,modulo_even,500,492,452.00,532.00,true,0.016000
150,395950,modulo_even,500,488,449.00,528.00,true,0.024000
151,403869,modulo_even,500,488,449.00,528.00,true,0.024000
152,411788,modulo_even,500,483,443.00,523.00,true,0.034000
153,419707,modulo_even,500,513,472.00,554.00,true,0.026000
154,427626,modulo_even,500,502,462.00,543.00,true,0.004000
155,435545,modulo_even,500,488,449.00,528.00,true,0.024000
156,443464,modulo_even,500,522,481.00,563.00,true,0.044000
157,451383,modulo_even,500,492,452.00,532.00,true,0.016000
158,459302,modulo_even,500,484,444.00,524.00,true,0.032000
159,467221,modulo_even,500,498,457.00,538.00,true,0.004000
160,475140,modulo_even,500,516,475.00,557.00,true,0.032000
161,483059,modulo_even,500,501,461.00,542.00,true,0.002000
162,490978,modulo_even,500,506,465.00,547.00,true,0.012000
163,498897,modulo_even,500,524,482.00,565.00,true,0.048000
164,506816,modulo_even,500,491,451.00,531.00,true,0.018000
165,514735,modulo_even,500,533,491.00,574.00,true,0.066000
166,522654,modulo_even,500,506,465.00,547.00,true,0.012000
167,530573,modulo_even,500,465,426.00,504.00,true,0.070000
168,538492,modulo_even,500,540,498.00,581.00,true,0.080000
169,546411,modulo_even,500,462,423.00,501.00,true,0.076000
170,554330,modulo_even,500,507,466.00,548.00,true,0.014000
171,562249,modulo_even,500,493,453.00,533.00,true,0.014000
172,570168,modulo_even,500,518,477.00,559.00,true,0.036000
173,578087,modulo_even,500,483,443.00,523.00,true,0.034000
174,586006,modulo_even,500,507,466.00,548.00,true,0.014000
175,593925,modulo_even,500,526,485.00,567.00,true,0.052000
176,601844,modulo_even,500,513,472.00,554.00,true,0.026000
177,609763,modulo_even,500,504,463.00,544.00,true,0.008000
178,617682,modulo_even,500,484,444.00,524.00,true,0.032000
179,625601,modulo_even,500,522,481.00,563.00,true,0.044000
180,633520,modulo_even,500,499,458.00,539.00,true,0.002000
181,641439,modulo_even,500,496,456.00,537.00,true,0.008000
182,649358,modulo_even,500,560,517.00,602.00,false,0.120000
183,657277,modulo_even,500,501,461.00,542.00,true,0.002000
184,665196,modulo_even,500,533,491.00,574.00,true,0.066000
185,673115,modulo_even,500,520,478.00,561.00,true,0.040000
186,681034,modulo_even,500,446,408.00,484.00,false,0.108000
187,688953,modulo_even,500,505,464.00,545.00,true,0.010000
188,696872,modulo_even,500,501,461.00,542.00,true,0.002000
189,704791,modulo_even,500,525,483.00,566.00,true,0.050000
190,712710,modulo_even,500,508,468.00,549.00,true,0.016000
191,720629,modulo_even,500,505,464.00,545.00,true,0.010000
192,728548,modulo_even,500,478,439.00,518.00,true,0.044000
193,736467,modulo_even,500,510,469.00,550.00,true,0.020000
194,744386,modulo_even,500,516,475.00,557.00,true,0.032000
195,752305,modulo_even,500,491,451.00,531.00,true,0.018000
196,760224,modulo_even,500,511,470.00,552.00,true,0.022000
197,768143,modulo_even,500,492,452.00,532.00,true,0.016000
198,776062,modulo_even,500,491,451.00,531.00,true,0.018000
199,783981,modulo_even,500,517,476.00,558.00,true,0.034000
200,0,magnitude_dependent,150,150,134.00,167.00,true,0.000000
201,7919,magnitude_dependent,150,150,135.00,167.00,true,0.000000
202,15838,magnitude_dependent,150,150,135.00,167.00,true,0.000000
203,23757,magnitude_dependent,150,148,133.00,165.00,true,0.013333
204,31676,magnitude_dependent,150,143,128.00,159.00,true,0.046667
205,39595,magnitude_dependent,150,141,127.00,158.00,true,0.060000
206,47514,magnitude_dependent,150,147,131.00,163.00,true,0.020000
207,55433,magnitude_dependent,150,147,132.00,163.00,true,0.020000
208,63352,magnitude_dependent,150,164,147.00,182.00,true,0.093333
209,71271,magnitude_dependent,150,143,128.00,159.00,true,0.046667
210,79190,magnitude_dependent,150,156,140.00,173.00,true,0.040000
