trial_id,seed,scenario,true_size,estimated_size,ci_lower,ci_upper,true_in_ci,relative_error
421,166299,hash_30pct,305,289,262.00,318.00,true,0.052459
422,174218,hash_30pct,305,308,279.00,338.00,true,0.009836
423,182137,hash_30pct,305,282,255.00,311.00,true,0.075410
424,190056,hash_30pct,305,286,259.00,315.00,true,0.062295
425,197975,hash_30pct,305,328,298.00,360.00,true,0.075410
426,205894,hash_30pct,305,300,272.00,330.00,true,0.016393
427,213813,hash_30pct,305,321,291.00,352.00,true,0.052459
428,221732,hash_30pct,305,328,298.00,360.00,true,0.075410
429,229651,hash_30pct,305,313,284.00,343.00,true,0.026230
430,237570,hash_30pct,305,328,298.00,360.00,true,0.075410
431,245489,hash_30pct,305,340,309.00,373.00,false,0.114754
432,253408,hash_30pct,305,328,298.00,360.00,true,0.075410
433,261327,hash_30pct,305,321,292.00,352.00,true,0.052459
434,269246,hash_30pct,305,310,281.00,340.00,true,0.016393
435,277165,hash_30pct,305,330,300.00,362.00,true,0.081967
436,285084,hash_30pct,305,324,294.00,355.00,true,0.062295
437,293003,hash_30pct,305,309,280.00,339.00,true,0.013115
438,300922,hash_30pct,305,353,321.00,386.00,false,0.157377
439,308841,hash_30pct,305,316,287.00,347.00,true,0.036066
440,316760,hash_30pct,305,284,258.00,313.00,true,0.068852
441,324679,hash_30pct,305,308,279.00,338.00,true,0.009836
442,332598,hash_30pct,305,301,273.00,331.00,true,0.013115
443,340517,hash_30pct,305,284,257.00,313.00,true,0.068852
444,348436,hash_30pct,305,301,273.00,330.00,true,0.013115
445,356355,hash_30pct,305,344,313.00,377.00,false,0.127869
446,364274,hash_30pct,305,314,285.00,344.00,true,0.029508
447,372193,hash_30pct,305,298,270.00,327.00,true,0.022951
448,380112,hash_30pct,305,323,293.00,355.00,true,0.059016
449,388031,hash_30pct,305,299,271.00,329.00,true,0.019672
450,395950,hash_30pct,305,323,293.00,354.00,true,0.059016
451,403869,hash_30pct,305,332,302.00,364.00,true,0.088525
452,411788,hash_30pct,305,301,273.00,331.00,true,0.013115
453,419707,hash_30pct,305,303,275.00,333.00,true,0.006557
454,427626,hash_30pct,305,304,276.00,334.00,true,0.003279
455,435545,hash_30pct,305,311,282.00,341.00,true,0.019672
456,443464,hash_30pct,305,310,282.00,341.00,true,0.016393
457,451383,hash_30pct,305,316,287.00,347.00,true,0.036066
458,459302,hash_30pct,305,338,307.00,371.00,false,0.108197
459,467221,hash_30pct,305,314,285.00,344.00,true,0.029508
460,475140,hash_30pct,305,296,269.00,326.00,true,0.029508
461,483059,hash_30pct,305,308,280.00,339.00,true,0.009836
462,490978,hash_30pct,305,289,262.00,318.00,true,0.052459
463,498897,hash_30pct,305,309,281.00,340.00,true,0.013115
464,506816,hash_30pct,305,290,263.00,319.00,true,0.049180
465,514735,hash_30pct,305,301,273.00,330.00,true,0.013115
466,522654,hash_30pct,305,291,264.00,320.00,true,0.045902
467,530573,hash_30pct,305,316,287.00,347.00,true,0.036066
468,538492,hash_30pct,305,290,263.00,319.00,true,0.049180
469,546411,hash_30pct,305,336,305.00,368.00,true,0.101639
470,554330,hash_30pct,305,301,273.00,331.00,true,0.013115
471,562249,hash_30pct,305,299,271.00,329.00,true,0.019672
472,570168,hash_30pct,305,328,298.00,360.00,true,0.075410
473,578087,hash_30pct,305,319,289.00,350.00,true,0.045902
474,586006,hash_30pct,305,309,280.00,339.00,true,0.013115
475,593925,hash_30pct,305,303,275.00,333.00,true,0.006557
476,601844,hash_30pct,305,299,271.00,329.00,true,0.019672
477,609763,hash_30pct,305,298,271.00,328.00,true,0.022951
478,617682,hash_30pct,305,320,291.00,351.00,true,0.049180
479,625601,hash_30pct,305,301,273.00,330.00,true,0.013115
480,633520,hash_30pct,305,284,257.00,313.00,true,0.068852
481,641439,hash_30pct,305,300,272.00,330.00,true,0.016393
482,649358,hash_30pct,305,319,290.00,350.00,true,0.045902
483,657277,hash_30pct,305,301,273.00,330.00,true,0.013115
484,665196,hash_30pct,305,276,250.00,304.00,false,0.095082
485,673115,hash_30pct,305,323,293.00,354.00,true,0.059016
486,681034,hash_30pct,305,296,268.00,325.00,true,0.029508
487,688953,hash_30pct,305,352,320.00,386.00,false,0.154098
488,696872,hash_30pct,305,314,285.00,344.00,true,0.029508
489,704791,hash_30pct,305,342,311.00,375.00,false,0.121311
490,712710,hash_30pct,305,287,260.00,315.00,true,0.059016
491,720629,hash_30pct,305,346,315.00,379.00,false,0.134426
492,728548,hash_30pct,305,293,265.00,322.00,true,0.039344
493,736467,hash_30pct,305,352,320.00,385.00,false,0.154098
494,744386,hash_30pct,305,316,287.00,347.00,true,0.036066
495,752305,hash_30pct,305,335,304.00,367.00,true,0.098361
496,760224,hash_30pct,305,320,291.00,351.00,true,0.049180
497,768143,hash_30pct,305,283,256.00,311.00,true,0.072131
498,776062,hash_30pct,305,304,275.00,334.00,true,0.003279
499,783981,hash_30pct,305,323,293.00,355.00,true,0.059016
