trial_id,seed,algorithm,start_value,target_value,budget,final_value,distance,attempts_used,converged,convergence_attempt
126,997794,random-100,100,10,50,10,0,2,1,2
127,1005713,random-100,100,10,50,10,0,2,1,2
128,1013632,random-100,100,10,50,10,0,2,1,2
129,1021551,random-100,100,10,50,10,0,2,1,2
130,1029470,random-100,100,10,50,10,0,1,1,1
131,1037389,random-100,100,10,50,10,0,2,1,2
132,1045308,random-100,100,10,50,10,0,2,1,2
133,1053227,random-100,100,10,50,10,0,1,1,1
134,1061146,random-100,100,10,50,10,0,1,1,1
135,1069065,random-100,100,10,50,10,0,2,1,2
136,1076984,random-100,100,10,50,10,0,2,1,2
137,1084903,random-100,100,10,50,10,0,2,1,2
138,1092822,random-100,100,10,50,10,0,2,1,2
139,1100741,random-100,100,10,50,10,0,1,1,1
140,1108660,random-100,100,10,50,10,0,2,1,2
141,1116579,random-100,100,10,50,10,0,2,1,2
142,1124498,random-100,100,10,50,10,0,2,1,2
143,1132417,random-100,100,10,50,10,0,2,1,2
144,1140336,random-100,100,10,50,10,0,2,1,2
145,1148255,random-100,100,10,50,10,0,2,1,2
146,1156174,random-100,100,10,50,10,0,2,1,2
147,1164093,random-100,100,10,50,10,0,2,1,2
148,1172012,random-100,100,10,50,10,0,2,1,2
149,1179931,random-100,100,10,50,10,0,2,1,2
150,1187850,random-100,100,10,50,10,0,2,1,2
151,1195769,random-100,100,10,50,10,0,1,1,1
152,1203688,random-100,100,10,50,10,0,2,1,2
153,1211607,random-100,100,10,50,10,0,2,1,2
154,1219526,random-100,100,10,50,10,0,2,1,2
155,1227445,random-100,100,10,50,10,0,2,1,2
156,1235364,random-100,100,10,50,10,0,1,1,1
157,1243283,random-100,100,10,50,10,0,2,1,2
158,1251202,random-100,100,10,50,10,0,1,1,1
159,1259121,random-100,100,10,50,10,0,2,1,2
160,1267040,random-100,100,10,50,10,0,2,1,2
161,1274959,random-100,100,10,50,10,0,1,1,1
162,1282878,random-100,100,10,50,10,0,2,1,2
163,1290797,random-100,100,10,50,10,0,2,1,2
164,1298716,random-100,100,10,50,10,0,1,1,1
165,1306635,random-100,100,10,50,10,0,1,1,1
166,1314554,random-100,100,10,50,10,0,1,1,1
167,1322473,random-100,100,10,50,10,0,2,1,2
168,1330392,random-100,100,10,50,10,0,2,1,2
169,1338311,random-100,100,10,50,10,0,2,1,2
170,1346230,random-100,100,10,50,10,0,1,1,1
171,1354149,random-100,100,10,50,10,0,2,1,2
172,1362068,random-100,100,10,50,10,0,2,1,2
173,1369987,random-100,100,10,50,10,0,2,1,2
174,1377906,random-100,100,10,50,10,0,2,1,2
175,1385825,random-100,100,10,50,10,0,1,1,1
176,1393744,random-100,100,10,50,10,0,2,1,2
177,1401663,random-100,100,10,50,10,0,1,1,1
178,1409582,random-100,100,10,50,10,0,1,1,1
179,1417501,random-100,100,10,50,10,0,2,1,2
180,1425420,random-100,100,10,50,10,0,2,1,2
181,1433339,random-100,100,10,50,10,0,2,1,2
182,1441258,random-100,100,10,50,10,0,2,1,2
183,1449177,random-100,100,10,50,10,0,2,1,2
184,1457096,random-100,100,10,50,10,0,1,1,1
185,1465015,random-100,100,10,50,10,0,2,1,2
186,1472934,random-100,100,10,50,10,0,1,1,1
187,1480853,random-100,100,10,50,10,0,2,1,2
188,1488772,random-100,100,10,50,10,0,2,1,2
189,1496691,random-100,100,10,50,10,0,2,1,2
190,1504610,random-100,100,10,50,10,0,2,1,2
191,1512529,random-100,100,10,50,10,0,1,1,1
192,1520448,random-100,100,10,50,10,0,2,1,2
193,1528367,random-100,100,10,50,10,0,2,1,2
194,1536286,random-100,100,10,50,10,0,2,1,2
195,1544205,random-100,100,10,50,10,0,2,1,2
196,1552124,random-100,100,10,50,10,0,2,1,2
197,1560043,random-100,100,10,50,10,0,2,1,2
198,1567962,random-100,100,10,50,10,0,1,1,1
199,1575881,random-100,100,10,50,10,0,2,1,2
200,1583800,random-100,100,10,100,10,0,2,1,2
201,1591719,random-100,100,10,100,10,0,2,1,2
202,1599638,random-100,100,10,100,10,0,1,1,1
203,1607557,random-100,100,10,100,10,0,1,1,1
204,1615476,random-100,100,10,100,10,0,1,1,1
205,1623395,random-100,100,10,100,10,0,1,1,1
206,1631314,random-100,100,10,100,10,0,1,1,1
207,1639233,random-100,100,10,100,10,0,2,1,2
208,1647152,random-100,100,10,100,10,0,1,1,1
209,1655071,random-100,100,10,100,10,0,2,1,2
210,1662990,random-100,100,10,100,10,0,1,1,1
211,1670909,random-100,100,10,100,10,0,2,1,2
212,1678828,random-100,100,10,100,10,0,2,1,2
213,1686747,random-100,100,10,100,10,0,1,1,1
214,1694666,random-100,100,10,100,10,0,2,1,2
215,1702585,random-100,100,10,100,10,0,1,1,1
216,1710504,random-100,100,10,100,10,0,2,1,2
217,1718423,random-100,100,10,100,10,0,1,1,1
218,1726342,random-100,100,10,100,10,0,2,1,2
219,1734261,random-100,100,10,100,10,0,1,1,1
220,1742180,random-100,100,10,100,10,0,1,1,1
221,1750099,random-100,100,10,100,10,0,1,1,1
222,1758018,random-100,100,10,100,10,0,1,1,1
223,1765937,random-100,100,10,100,10,0,1,1,1
224,1773856,random-100,100,10,100,10,0,1,1,1
225,1781775,random-100,100,10,100,10,0,1,1,1
226,1789694,random-100,100,10,100,10,0,1,1,1
227,1797613,random-100,100,10,100,10,0,1,1,1
228,1805532,random-100,100,10,100,10,0,1,1,1
229,1813451,random-100,100,10,100,10,0,1,1,1
230,1821370,random-100,100,10,100,10,0,1,1,1
231,1829289,random-100,100,10,100,10,0,1,1,1
232,1837208,random-100,100,10,100,10,0,1,1,1
233,1845127,random-100,100,10,100,10,0,2,1,2
234,1853046,random-100,100,10,100,10,0,1,1,1
235,1860965,random-100,100,10,100,10,0,1,1,1
236,1868884,random-100,100,10,100,10,0,1,1,1
237,1876803,random-100,100,10,100,10,0,1,1,1
238,1884722,random-100,100,10,100,10,0,1,1,1
239,1892641,random-100,100,10,100,10,0,1,1,1
240,1900560,random-100,100,10,100,10,0,1,1,1
241,1908479,random-100,100,10,100,10,0,1,1,1
242,1916398,random-100,100,10,100,10,0,2,1,2
243,1924317,random-100,100,10,100,10,0,1,1,1
244,1932236,random-100,100,10,100,10,0,1,1,1
245,1940155,random-100,100,10,100,10,0,1,1,1
246,1948074,random-100,100,10,100,10,0,2,1,2
247,1955993,random-100,100,10,100,10,0,1,1,1
248,1963912,random-100,100,10,100,10,0,1,1,1
249,1971831,random-100,100,10,100,10,0,1,1,1
250,1979750,random-100,100,10,100,10,0,1,1,1
251,1987669,random-100,100,10,100,10,0,2,1,2
252,1995588,random-100,100,10,100,10,0,1,1,1
253,2003507,random-100,100,10,100,10,0,1,1,1
254,2011426,random-100,100,10,100,10,0,1,1,1
255,2019345,random-100,100,10,100,10,0,2,1,2
256,2027264,random-100,100,10,100,10,0,2,1,2
257,2035183,random-100,100,10,100,10,0,1,1,1
258,2043102,random-100,100,10,100,10,0,2,1,2
259,2051021,random-100,100,10,100,10,0,1,1,1
260,2058940,random-100,100,10,100,10,0,1,1,1
261,2066859,random-100,100,10,100,10,0,1,1,1
262,2074778,random-100,100,10,100,10,0,2,1,2
263,2082697,random-100,100,10,100,10,0,2,1,2
264,2090616,random-100,100,10,100,10,0,1,1,1
265,2098535,random-100,100,10,100,10,0,1,1,1
266,2106454,random-100,100,10,100,10,0,2,1,2
267,2114373,random-100,100,10,100,10,0,1,1,1
268,2122292,random-100,100,10,100,10,0,1,1,1
269,2130211,random-100,100,10,100,10,0,2,1,2
270,2138130,random-100,100,10,100,10,0,2,1,2
271,2146049,random-100,100,10,100,10,0,2,1,2
272,2153968,random-100,100,10,100,10,0,2,1,2
273,2161887,random-100,100,10,100,10,0,1,1,1
274,2169806,random-100,100,10,100,10,0,2,1,2
275,2177725,random-100,100,10,100,10,0,1,1,1
276,2185644,random-100,100,10,100,10,0,1,1,1
277,2193563,random-100,100,10,100,10,0,1,1,1
278,2201482,random-100,100,10,100,10,0,1,1,1
279,2209401,random-100,100,10,100,10,0,1,1,1
280,2217320,random-100,100,10,100,10,0,1,1,1
281,2225239,random-100,100,10,100,10,0,2,1,2
282,2233158,random-100,100,10,100,10,0,1,1,1
283,2241077,random-100,100,10,100,10,0,1,1,1
284,2248996,random-100,100,10,100,10,0,1,1,1
285,2256915,random-100,100,10,100,10,0,1,1,1
286,2264834,random-100,100,10,100,10,0,1,1,1
287,2272753,random-100,100,10,100,10,0,1,1,1
288,2280672,random-100,100,10,100,10,0,1,1,1
289,2288591,random-100,100,10,100,10,0,2,1,2
290,2296510,random-100,100,10,100,10,0,2,1,2
291,2304429,random-100,100,10,100,10,0,1,1,1
292,2312348,random-100,100,10,100,10,0,1,1,1
293,2320267,random-100,100,10,100,10,0,2,1,2
294,2328186,random-100,100,10,100,10,0,1,1,1
295,2336105,random-100,100,10,100,10,0,2,1,2
296,2344024,random-100,100,10,100,10,0,1,1,1
297,2351943,random-100,100,10,100,10,0,2,1,2
298,2359862,random-100,100,10,100,10,0,2,1,2
299,2367781,random-100,100,10,100,10,0,1,1,1
300,2375700,random-100,100,10,200,10,0,1,1,1
301,2383619,random-100,100,10,200,10,0,2,1,2
302,2391538,random-100,100,10,200,10,0,1,1,1
