trial_id,seed,tests_run,bug_found,claimed_confidence,true_pass_rate,threshold,target_confidence,threshold_actually_met,termination_reason,elapsed_micros,outcome
89,704791,100,false,0.994375,1,0.95,0.95,true,confidence,121,TP
90,712710,100,false,0.994375,1,0.95,0.95,true,confidence,114,TP
91,720629,100,false,0.994375,1,0.95,0.95,true,confidence,115,TP
92,728548,100,false,0.994375,1,0.95,0.95,true,confidence,123,TP
93,736467,100,false,0.994375,1,0.95,0.95,true,confidence,113,TP
94,744386,100,false,0.994375,1,0.95,0.95,true,confidence,113,TP
95,752305,100,false,0.994375,1,0.95,0.95,true,confidence,111,TP
96,760224,100,false,0.994375,1,0.95,0.95,true,confidence,106,TP
97,768143,100,false,0.994375,1,0.95,0.95,true,confidence,109,TP
98,776062,100,false,0.994375,1,0.95,0.95,true,confidence,109,TP
99,783981,100,false,0.994375,1,0.95,0.95,true,confidence,109,TP
100,791900,100,false,0.994375,1,0.95,0.99,true,confidence,273,TP
101,799819,100,false,0.994375,1,0.95,0.99,true,confidence,121,TP
102,807738,100,false,0.994375,1,0.95,0.99,true,confidence,115,TP
103,815657,100,false,0.994375,1,0.95,0.99,true,confidence,106,TP
104,823576,100,false,0.994375,1,0.95,0.99,true,confidence,106,TP
105,831495,100,false,0.994375,1,0.95,0.99,true,confidence,107,TP
106,839414,100,false,0.994375,1,0.95,0.99,true,confidence,106,TP
107,847333,100,false,0.994375,1,0.95,0.99,true,confidence,139,TP
108,855252,100,false,0.994375,1,0.95,0.99,true,confidence,103,TP
109,863171,100,false,0.994375,1,0.95,0.99,true,confidence,103,TP
110,871090,100,false,0.994375,1,0.95,0.99,true,confidence,102,TP
111,879009,100,false,0.994375,1,0.95,0.99,true,confidence,102,TP
112,886928,100,false,0.994375,1,0.95,0.99,true,confidence,219,TP
113,894847,100,false,0.994375,1,0.95,0.99,true,confidence,120,TP
114,902766,100,false,0.994375,1,0.95,0.99,true,confidence,112,TP
115,910685,100,false,0.994375,1,0.95,0.99,true,confidence,104,TP
116,918604,100,false,0.994375,1,0.95,0.99,true,confidence,103,TP
117,926523,100,false,0.994375,1,0.95,0.99,true,confidence,103,TP
118,934442,100,false,0.994375,1,0.95,0.99,true,confidence,102,TP
119,942361,100,false,0.994375,1,0.95,0.99,true,confidence,102,TP
120,950280,100,false,0.994375,1,0.95,0.99,true,confidence,102,TP
121,958199,100,false,0.994375,1,0.95,0.99,true,confidence,141,TP
122,966118,100,false,0.994375,1,0.95,0.99,true,confidence,110,TP
123,974037,100,false,0.994375,1,0.95,0.99,true,confidence,105,TP
124,981956,100,false,0.994375,1,0.95,0.99,true,confidence,105,TP
125,989875,100,false,0.994375,1,0.95,0.99,true,confidence,234,TP
126,997794,100,false,0.994375,1,0.95,0.99,true,confidence,125,TP
127,1005713,100,false,0.994375,1,0.95,0.99,true,confidence,128,TP
128,1013632,100,false,0.994375,1,0.95,0.99,true,confidence,106,TP
129,1021551,100,false,0.994375,1,0.95,0.99,true,confidence,105,TP
130,1029470,100,false,0.994375,1,0.95,0.99,true,confidence,103,TP
131,1037389,100,false,0.994375,1,0.95,0.99,true,confidence,103,TP
132,1045308,100,false,0.994375,1,0.95,0.99,true,confidence,107,TP
133,1053227,100,false,0.994375,1,0.95,0.99,true,confidence,104,TP
134,1061146,100,false,0.994375,1,0.95,0.99,true,confidence,106,TP
135,1069065,100,false,0.994375,1,0.95,0.99,true,confidence,118,TP
136,1076984,100,false,0.994375,1,0.95,0.99,true,confidence,123,TP
137,1084903,100,false,0.994375,1,0.95,0.99,true,confidence,103,TP
138,1092822,100,false,0.994375,1,0.95,0.99,true,confidence,228,TP
139,1100741,100,false,0.994375,1,0.95,0.99,true,confidence,111,TP
140,1108660,100,false,0.994375,1,0.95,0.99,true,confidence,108,TP
141,1116579,100,false,0.994375,1,0.95,0.99,true,confidence,109,TP
142,1124498,100,false,0.994375,1,0.95,0.99,true,confidence,105,TP
143,1132417,100,false,0.994375,1,0.95,0.99,true,confidence,106,TP
