trial_id,seed,depth,explorer,total_tests,quantifier_index,unique_values,expected_unique,detection_rate
95,752305,1,flat,1000,0,1000,1000,0.000999999000001
96,760224,1,flat,1000,0,1000,1000,0.000999999000001
97,768143,1,flat,1000,0,1000,1000,0.000999999000001
98,776062,1,flat,1000,0,998,1000,0.000997999002000998
99,783981,1,flat,1000,0,1000,1000,0.000999999000001
100,791900,2,nested,1000,0,31,31,0.000030999969000031
100,791900,2,nested,1000,1,31,31,0.000030999969000031
101,799819,2,nested,1000,0,31,31,0.000030999969000031
101,799819,2,nested,1000,1,31,31,0.000030999969000031
102,807738,2,nested,1000,0,31,31,0.000030999969000031
102,807738,2,nested,1000,1,31,31,0.000030999969000031
103,815657,2,nested,1000,0,31,31,0.000030999969000031
103,815657,2,nested,1000,1,31,31,0.000030999969000031
104,823576,2,nested,1000,0,31,31,0.000030999969000031
104,823576,2,nested,1000,1,31,31,0.000030999969000031
105,831495,2,nested,1000,0,31,31,0.000030999969000031
105,831495,2,nested,1000,1,31,31,0.000030999969000031
106,839414,2,nested,1000,0,31,31,0.000030999969000031
106,839414,2,nested,1000,1,31,31,0.000030999969000031
107,847333,2,nested,1000,0,31,31,0.000030999969000031
107,847333,2,nested,1000,1,31,31,0.000030999969000031
108,855252,2,nested,1000,0,31,31,0.000030999969000031
108,855252,2,nested,1000,1,31,31,0.000030999969000031
109,863171,2,nested,1000,0,31,31,0.000030999969000031
109,863171,2,nested,1000,1,31,31,0.000030999969000031
110,871090,2,nested,1000,0,31,31,0.000030999969000031
110,871090,2,nested,1000,1,31,31,0.000030999969000031
111,879009,2,nested,1000,0,31,31,0.000030999969000031
111,879009,2,nested,1000,1,31,31,0.000030999969000031
112,886928,2,nested,1000,0,31,31,0.000030999969000031
112,886928,2,nested,1000,1,31,31,0.000030999969000031
113,894847,2,nested,1000,0,31,31,0.000030999969000031
113,894847,2,nested,1000,1,31,31,0.000030999969000031
114,902766,2,nested,1000,0,31,31,0.000030999969000031
114,902766,2,nested,1000,1,31,31,0.000030999969000031
115,910685,2,nested,1000,0,31,31,0.000030999969000031
115,910685,2,nested,1000,1,31,31,0.000030999969000031
116,918604,2,nested,1000,0,31,31,0.000030999969000031
116,918604,2,nested,1000,1,31,31,0.000030999969000031
117,926523,2,nested,1000,0,31,31,0.000030999969000031
117,926523,2,nested,1000,1,31,31,0.000030999969000031
118,934442,2,nested,1000,0,31,31,0.000030999969000031
118,934442,2,nested,1000,1,31,31,0.000030999969000031
119,942361,2,nested,1000,0,31,31,0.000030999969000031
119,942361,2,nested,1000,1,31,31,0.000030999969000031
120,950280,2,nested,1000,0,31,31,0.000030999969000031
120,950280,2,nested,1000,1,31,31,0.000030999969000031
121,958199,2,nested,1000,0,31,31,0.000030999969000031
121,958199,2,nested,1000,1,31,31,0.000030999969000031
122,966118,2,nested,1000,0,31,31,0.000030999969000031
122,966118,2,nested,1000,1,31,31,0.000030999969000031
123,974037,2,nested,1000,0,31,31,0.000030999969000031
123,974037,2,nested,1000,1,31,31,0.000030999969000031
124,981956,2,nested,1000,0,31,31,0.000030999969000031
124,981956,2,nested,1000,1,31,31,0.000030999969000031
125,989875,2,nested,1000,0,31,31,0.000030999969000031
125,989875,2,nested,1000,1,31,31,0.000030999969000031
126,997794,2,nested,1000,0,31,31,0.000030999969000031
126,997794,2,nested,1000,1,31,31,0.000030999969000031
