trial_id,seed,pass_rate,sample_count,true_size,estimated_size,ci_lower,ci_upper,ci_width,true_in_ci,relative_error
10,79190,0.01,1,10,16,10.00,27.00,17.00,true,0.600000
10,79190,0.01,5,10,14,9.00,21.00,12.00,true,0.400000
10,79190,0.01,10,10,10,7.00,15.00,8.00,true,0.000000
10,79190,0.01,25,10,9,7.00,13.00,6.00,true,0.100000
10,79190,0.01,50,10,10,8.00,13.00,5.00,true,0.000000
10,79190,0.01,100,10,10,8.00,13.00,5.00,true,0.000000
10,79190,0.01,200,10,10,8.00,12.00,4.00,true,0.000000
10,79190,0.01,500,10,10,9.00,11.00,2.00,true,0.000000
11,87109,0.01,1,10,14,8.00,22.00,14.00,true,0.400000
11,87109,0.01,5,10,13,9.00,21.00,12.00,true,0.300000
11,87109,0.01,10,10,15,10.00,22.00,12.00,true,0.500000
11,87109,0.01,25,10,10,7.00,13.00,6.00,true,0.000000
11,87109,0.01,50,10,10,7.00,12.00,5.00,true,0.000000
11,87109,0.01,100,10,11,9.00,13.00,4.00,true,0.100000
11,87109,0.01,200,10,10,8.00,12.00,4.00,true,0.000000
11,87109,0.01,500,10,10,9.00,12.00,3.00,true,0.000000
12,95028,0.01,1,10,16,10.00,27.00,17.00,true,0.600000
12,95028,0.01,5,10,16,11.00,25.00,14.00,false,0.600000
12,95028,0.01,10,10,11,7.00,16.00,9.00,true,0.100000
12,95028,0.01,25,10,10,7.00,14.00,7.00,true,0.000000
12,95028,0.01,50,10,10,8.00,13.00,5.00,true,0.000000
12,95028,0.01,100,10,10,8.00,13.00,5.00,true,0.000000
12,95028,0.01,200,10,10,8.00,12.00,4.00,true,0.000000
12,95028,0.01,500,10,10,9.00,11.00,2.00,true,0.000000
13,102947,0.01,1,10,17,10.00,28.00,18.00,true,0.700000
13,102947,0.01,5,10,12,8.00,19.00,11.00,true,0.200000
13,102947,0.01,10,10,11,7.00,17.00,10.00,true,0.100000
13,102947,0.01,25,10,11,8.00,15.00,7.00,true,0.100000
13,102947,0.01,50,10,11,9.00,14.00,5.00,true,0.100000
13,102947,0.01,100,10,11,9.00,14.00,5.00,true,0.100000
13,102947,0.01,200,10,11,10.00,13.00,3.00,true,0.100000
13,102947,0.01,500,10,10,9.00,12.00,3.00,true,0.000000
14,110866,0.01,1,10,16,10.00,27.00,17.00,true,0.600000
14,110866,0.01,5,10,14,9.00,22.00,13.00,true,0.400000
14,110866,0.01,10,10,11,8.00,17.00,9.00,true,0.100000
14,110866,0.01,25,10,13,9.00,17.00,8.00,true,0.300000
14,110866,0.01,50,10,13,10.00,16.00,6.00,true,0.300000
14,110866,0.01,100,10,12,10.00,14.00,4.00,true,0.200000
14,110866,0.01,200,10,11,9.00,13.00,4.00,true,0.100000
14,110866,0.01,500,10,10,9.00,12.00,3.00,true,0.000000
15,118785,0.01,1,10,15,9.00,25.00,16.00,true,0.500000
