trial_id,seed,scenario,approach,witness_density,sample_size,witness_found,tests_run,elapsed_micros,witness_value,shrink_candidates_tested,shrink_improvements_made
99,190056,sparse,double_negation,0.0001,200,false,200,195,,0,0
100,0,sparse,first_class,0.0001,500,false,500,582,,0,0
101,7919,sparse,first_class,0.0001,500,false,500,462,,0,0
102,15838,sparse,first_class,0.0001,500,false,500,442,,0,0
103,23757,sparse,first_class,0.0001,500,false,500,505,,0,0
104,31676,sparse,first_class,0.0001,500,false,500,580,,0,0
105,39595,sparse,first_class,0.0001,500,false,500,461,,0,0
106,47514,sparse,first_class,0.0001,500,false,500,440,,0,0
107,55433,sparse,first_class,0.0001,500,false,500,422,,0,0
108,63352,sparse,first_class,0.0001,500,true,227,502,700000,0,0
109,71271,sparse,first_class,0.0001,500,false,500,553,,0,0
110,79190,sparse,first_class,0.0001,500,false,500,482,,0,0
111,87109,sparse,first_class,0.0001,500,false,500,462,,0,0
112,95028,sparse,first_class,0.0001,500,false,500,568,,0,0
113,102947,sparse,first_class,0.0001,500,false,500,455,,0,0
114,110866,sparse,first_class,0.0001,500,false,500,449,,0,0
115,118785,sparse,first_class,0.0001,500,false,500,404,,0,0
116,126704,sparse,first_class,0.0001,500,false,500,482,,0,0
117,134623,sparse,first_class,0.0001,500,false,500,453,,0,0
118,142542,sparse,first_class,0.0001,500,false,500,413,,0,0
119,150461,sparse,first_class,0.0001,500,false,500,404,,0,0
120,158380,sparse,first_class,0.0001,500,false,500,517,,0,0
121,166299,sparse,first_class,0.0001,500,false,500,411,,0,0
122,174218,sparse,first_class,0.0001,500,false,500,407,,0,0
123,182137,sparse,first_class,0.0001,500,false,500,409,,0,0
124,190056,sparse,first_class,0.0001,500,false,500,604,,0,0
125,0,sparse,double_negation,0.0001,500,false,500,460,,0,0
126,7919,sparse,double_negation,0.0001,500,false,500,398,,0,0
127,15838,sparse,double_negation,0.0001,500,false,500,402,,0,0
128,23757,sparse,double_negation,0.0001,500,false,500,516,,0,0
129,31676,sparse,double_negation,0.0001,500,false,500,444,,0,0
130,39595,sparse,double_negation,0.0001,500,false,500,430,,0,0
131,47514,sparse,double_negation,0.0001,500,false,500,533,,0,0
132,55433,sparse,double_negation,0.0001,500,false,500,426,,0,0
133,63352,sparse,double_negation,0.0001,500,true,227,372,700000,0,0
134,71271,sparse,double_negation,0.0001,500,false,500,488,,0,0
135,79190,sparse,double_negation,0.0001,500,false,500,453,,0,0
136,87109,sparse,double_negation,0.0001,500,false,500,577,,0,0
137,95028,sparse,double_negation,0.0001,500,false,500,396,,0,0
138,102947,sparse,double_negation,0.0001,500,false,500,408,,0,0
139,110866,sparse,double_negation,0.0001,500,false,500,383,,0,0
