trial_id,seed,scenario,pass_rate,base_size,true_size,samples_taken,terminated,termination_reason,estimated_size,ci_lower,ci_upper,inv95_at_termination,base_size_used,termination_condition_value,false_termination
54,427626,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
55,435545,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
56,443464,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
57,451383,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
58,459302,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
59,467221,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
60,475140,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
61,483059,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
62,490978,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
63,498897,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
64,506816,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
65,514735,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
66,522654,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
67,530573,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
68,538492,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
69,546411,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
70,554330,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
71,562249,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
72,570168,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
73,578087,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
74,586006,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
75,593925,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
76,601844,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
77,609763,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
78,617682,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
79,625601,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
80,633520,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
81,641439,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
82,649358,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
83,657277,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
84,665196,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
85,673115,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
86,681034,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
87,688953,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
88,696872,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
89,704791,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
90,712710,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
91,720629,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
92,728548,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
93,736467,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
94,744386,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
95,752305,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
96,760224,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
97,768143,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
98,776062,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
99,783981,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
100,791900,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
101,799819,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
102,807738,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
103,815657,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
104,823576,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
105,831495,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
106,839414,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
107,847333,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
108,855252,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
109,863171,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
110,871090,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
111,879009,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
112,886928,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
113,894847,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
114,902766,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
115,910685,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
116,918604,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
117,926523,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
118,934442,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
119,942361,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
120,950280,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
121,958199,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
122,966118,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
123,974037,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
124,981956,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
125,989875,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
126,997794,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
127,1005713,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
128,1013632,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
129,1021551,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
