trial_id,seed,arbitrary_type,sampler_type,requested_count,actual_count,unique_count,termination_guard_triggered,elapsed_micros
142,1124498,exact,deduping,10,10,10,false,1
143,1132417,exact,deduping,10,10,10,false,1
144,1140336,exact,deduping,10,10,10,false,1
145,1148255,exact,deduping,10,10,10,false,1
146,1156174,exact,deduping,10,10,10,false,1
147,1164093,exact,deduping,10,10,10,false,1
148,1172012,exact,deduping,10,10,10,false,1
149,1179931,exact,deduping,10,10,10,false,1
150,1187850,exact,deduping,10,10,10,false,1
151,1195769,exact,deduping,10,10,10,false,1
152,1203688,exact,deduping,10,10,10,false,1
153,1211607,exact,deduping,10,10,10,false,1
154,1219526,exact,deduping,10,10,10,false,2
155,1227445,exact,deduping,10,10,10,false,1
156,1235364,exact,deduping,10,10,10,false,1
157,1243283,exact,deduping,10,10,10,false,1
158,1251202,exact,deduping,10,10,10,false,1
159,1259121,exact,deduping,10,10,10,false,1
160,1267040,exact,deduping,10,10,10,false,1
161,1274959,exact,deduping,10,10,10,false,1
162,1282878,exact,deduping,10,10,10,false,1
163,1290797,exact,deduping,10,10,10,false,1
164,1298716,exact,deduping,10,10,10,false,1
165,1306635,exact,deduping,10,10,10,false,1
166,1314554,exact,deduping,10,10,10,false,1
167,1322473,exact,deduping,10,10,10,false,1
168,1330392,exact,deduping,10,10,10,false,1
169,1338311,exact,deduping,10,10,10,false,1
170,1346230,exact,deduping,10,10,10,false,1
171,1354149,exact,deduping,10,10,10,false,1
172,1362068,exact,deduping,10,10,10,false,1
173,1369987,exact,deduping,10,10,10,false,1
174,1377906,exact,deduping,10,10,10,false,1
175,1385825,exact,deduping,10,10,10,false,1
176,1393744,exact,deduping,10,10,10,false,1
177,1401663,exact,deduping,10,10,10,false,1
178,1409582,exact,deduping,10,10,10,false,1
179,1417501,exact,deduping,10,10,10,false,1
180,1425420,exact,deduping,10,10,10,false,6
181,1433339,exact,deduping,10,10,10,false,1
182,1441258,exact,deduping,10,10,10,false,1
183,1449177,exact,deduping,10,10,10,false,1
184,1457096,exact,deduping,10,10,10,false,1
185,1465015,exact,deduping,10,10,10,false,2
186,1472934,exact,deduping,10,10,10,false,1
187,1480853,exact,deduping,10,10,10,false,1
188,1488772,exact,deduping,10,10,10,false,1
189,1496691,exact,deduping,10,10,10,false,1
190,1504610,exact,deduping,10,10,10,false,1
191,1512529,exact,deduping,10,10,10,false,1
192,1520448,exact,deduping,10,10,10,false,1
193,1528367,exact,deduping,10,10,10,false,1
194,1536286,exact,deduping,10,10,10,false,1
195,1544205,exact,deduping,10,10,10,false,1
196,1552124,exact,deduping,10,10,10,false,1
