trial_id,seed,union_type,branch_sizes,branch0_count,branch1_count,samples_per_trial,expected_p0,elapsed_micros
83,23757,filtered_50pct_vs_exact,"[50,50]",5096,4904,10000,0.500000,27825
84,31676,filtered_50pct_vs_exact,"[50,50]",4992,5008,10000,0.500000,28018
85,39595,filtered_50pct_vs_exact,"[50,50]",4958,5042,10000,0.500000,28766
86,47514,filtered_50pct_vs_exact,"[50,50]",5016,4984,10000,0.500000,29983
87,55433,filtered_50pct_vs_exact,"[50,50]",5050,4950,10000,0.500000,28223
88,63352,filtered_50pct_vs_exact,"[50,50]",4995,5005,10000,0.500000,29782
89,71271,filtered_50pct_vs_exact,"[50,50]",4970,5030,10000,0.500000,29409
90,79190,filtered_50pct_vs_exact,"[50,50]",5022,4978,10000,0.500000,29273
91,87109,filtered_50pct_vs_exact,"[50,50]",4902,5098,10000,0.500000,29581
92,95028,filtered_50pct_vs_exact,"[50,50]",5086,4914,10000,0.500000,29173
93,102947,filtered_50pct_vs_exact,"[50,50]",5113,4887,10000,0.500000,29614
94,110866,filtered_50pct_vs_exact,"[50,50]",5093,4907,10000,0.500000,29861
95,118785,filtered_50pct_vs_exact,"[50,50]",4998,5002,10000,0.500000,29121
96,126704,filtered_50pct_vs_exact,"[50,50]",4961,5039,10000,0.500000,29728
97,134623,filtered_50pct_vs_exact,"[50,50]",4986,5014,10000,0.500000,29735
98,142542,filtered_50pct_vs_exact,"[50,50]",5002,4998,10000,0.500000,29406
99,150461,filtered_50pct_vs_exact,"[50,50]",5033,4967,10000,0.500000,29638
100,0,filtered_30pct_vs_filtered_70pct,"[34,73]",3230,6770,10000,0.317757,43052
101,7919,filtered_30pct_vs_filtered_70pct,"[34,70]",3294,6706,10000,0.326923,48168
102,15838,filtered_30pct_vs_filtered_70pct,"[34,70]",3345,6655,10000,0.326923,50570
103,23757,filtered_30pct_vs_filtered_70pct,"[34,70]",3282,6718,10000,0.326923,54061
104,31676,filtered_30pct_vs_filtered_70pct,"[34,70]",3266,6734,10000,0.326923,54983
105,39595,filtered_30pct_vs_filtered_70pct,"[34,70]",3251,6749,10000,0.326923,54477
106,47514,filtered_30pct_vs_filtered_70pct,"[34,70]",3296,6704,10000,0.326923,63902
107,55433,filtered_30pct_vs_filtered_70pct,"[34,70]",3350,6650,10000,0.326923,76928
108,63352,filtered_30pct_vs_filtered_70pct,"[34,70]",3248,6752,10000,0.326923,56322
109,71271,filtered_30pct_vs_filtered_70pct,"[34,70]",3224,6776,10000,0.326923,57212
110,79190,filtered_30pct_vs_filtered_70pct,"[34,70]",3257,6743,10000,0.326923,56022
111,87109,filtered_30pct_vs_filtered_70pct,"[34,70]",3237,6763,10000,0.326923,56685
112,95028,filtered_30pct_vs_filtered_70pct,"[34,70]",3224,6776,10000,0.326923,56579
113,102947,filtered_30pct_vs_filtered_70pct,"[34,70]",3347,6653,10000,0.326923,58018
114,110866,filtered_30pct_vs_filtered_70pct,"[34,70]",3264,6736,10000,0.326923,56882
115,118785,filtered_30pct_vs_filtered_70pct,"[34,70]",3329,6671,10000,0.326923,57013
116,126704,filtered_30pct_vs_filtered_70pct,"[34,70]",3201,6799,10000,0.326923,57530
117,134623,filtered_30pct_vs_filtered_70pct,"[34,70]",3323,6677,10000,0.326923,57540
118,142542,filtered_30pct_vs_filtered_70pct,"[34,70]",3300,6700,10000,0.326923,56990
119,150461,filtered_30pct_vs_filtered_70pct,"[34,70]",3210,6790,10000,0.326923,57878
