trial_id,seed,length_distribution,bug_type,bug_detected,tests_to_detection,tests_run,elapsed_micros
156,1235364,uniform,empty,true,36,36,8
157,1243283,uniform,empty,true,23,23,5
158,1251202,uniform,empty,true,6,6,1
159,1259121,uniform,empty,true,5,5,1
160,1267040,uniform,empty,true,5,5,0
161,1274959,uniform,empty,true,24,24,4
162,1282878,uniform,empty,true,6,6,1
163,1290797,uniform,empty,true,19,19,3
164,1298716,uniform,empty,true,8,8,1
165,1306635,uniform,empty,true,6,6,1
166,1314554,uniform,empty,true,4,4,0
167,1322473,uniform,empty,true,7,7,1
168,1330392,uniform,empty,true,16,16,3
169,1338311,uniform,empty,true,10,10,2
170,1346230,uniform,empty,true,9,9,1
171,1354149,uniform,empty,true,4,4,0
172,1362068,uniform,empty,true,27,27,5
173,1369987,uniform,empty,true,14,14,2
174,1377906,uniform,empty,true,48,48,8
175,1385825,uniform,empty,true,2,2,0
176,1393744,uniform,empty,true,13,13,3
177,1401663,uniform,empty,true,7,7,1
178,1409582,uniform,empty,true,7,7,1
179,1417501,uniform,empty,true,18,18,3
180,1425420,uniform,empty,true,12,12,5
181,1433339,uniform,empty,true,5,5,1
182,1441258,uniform,empty,true,10,10,2
183,1449177,uniform,empty,true,19,19,3
184,1457096,uniform,empty,true,11,11,2
185,1465015,uniform,empty,true,2,2,0
186,1472934,uniform,empty,true,1,1,0
187,1480853,uniform,empty,true,2,2,0
188,1488772,uniform,empty,true,5,5,1
189,1496691,uniform,empty,true,14,14,3
190,1504610,uniform,empty,true,2,2,0
191,1512529,uniform,empty,true,2,2,0
192,1520448,uniform,empty,true,6,6,1
193,1528367,uniform,empty,true,11,11,2
194,1536286,uniform,empty,true,4,4,1
195,1544205,uniform,empty,true,1,1,0
196,1552124,uniform,empty,true,12,12,2
197,1560043,uniform,empty,true,36,36,8
198,1567962,uniform,empty,true,1,1,0
199,1575881,uniform,empty,true,9,9,2
200,1583800,uniform,empty,true,4,4,1
201,1591719,uniform,empty,true,3,3,0
202,1599638,uniform,empty,true,2,2,0
203,1607557,uniform,empty,true,4,4,0
204,1615476,uniform,empty,true,19,19,4
205,1623395,uniform,empty,true,2,2,0
206,1631314,uniform,empty,true,8,8,1
207,1639233,uniform,empty,true,2,2,0
208,1647152,uniform,empty,true,6,6,1
209,1655071,uniform,empty,true,17,17,3
210,1662990,uniform,empty,true,16,16,2
211,1670909,uniform,empty,true,18,18,4
212,1678828,uniform,empty,true,4,4,1
213,1686747,uniform,empty,true,12,12,3
214,1694666,uniform,empty,true,1,1,0
215,1702585,uniform,empty,true,3,3,0
216,1710504,uniform,empty,true,25,25,5
217,1718423,uniform,empty,true,7,7,1
218,1726342,uniform,empty,true,5,5,1
219,1734261,uniform,empty,true,9,9,1
220,1742180,uniform,empty,true,26,26,5
221,1750099,uniform,empty,true,7,7,1
222,1758018,uniform,empty,true,15,15,2
223,1765937,uniform,empty,true,7,7,1
224,1773856,uniform,empty,true,7,7,1
225,1781775,uniform,empty,true,7,7,1
226,1789694,uniform,empty,true,6,6,1
227,1797613,uniform,empty,true,8,8,2
228,1805532,uniform,empty,true,13,13,2
229,1813451,uniform,empty,true,2,2,0
230,1821370,uniform,empty,true,9,9,1
231,1829289,uniform,empty,true,8,8,12
232,1837208,uniform,empty,true,17,17,3
233,1845127,uniform,empty,true,8,8,2
234,1853046,uniform,empty,true,1,1,0
235,1860965,uniform,empty,true,6,6,1
236,1868884,uniform,empty,true,15,15,4
237,1876803,uniform,empty,true,12,12,2
238,1884722,uniform,empty,true,2,2,0
239,1892641,uniform,empty,true,74,74,17
240,1900560,uniform,empty,true,1,1,0
241,1908479,uniform,empty,true,11,11,3
242,1916398,uniform,empty,true,2,2,0
243,1924317,uniform,empty,true,6,6,0
244,1932236,uniform,empty,true,10,10,3
245,1940155,uniform,empty,true,3,3,0
246,1948074,uniform,empty,true,2,2,0
247,1955993,uniform,empty,true,5,5,1
248,1963912,uniform,empty,true,15,15,4
