trial_id,seed,sampler_type,bug_type,bug_detected,tests_to_detection,tests_run,elapsed_micros
142,1124498,biased,boundary_min,true,1,1,28
143,1132417,biased,boundary_min,true,1,1,31
144,1140336,biased,boundary_min,true,1,1,23
145,1148255,biased,boundary_min,true,1,1,34
146,1156174,biased,boundary_min,true,1,1,23
147,1164093,biased,boundary_min,true,1,1,24
148,1172012,biased,boundary_min,true,1,1,23
149,1179931,biased,boundary_min,true,1,1,25
150,1187850,biased,boundary_min,true,1,1,24
151,1195769,biased,boundary_min,true,1,1,39
152,1203688,biased,boundary_min,true,1,1,24
153,1211607,biased,boundary_min,true,1,1,25
154,1219526,biased,boundary_min,true,1,1,23
155,1227445,biased,boundary_min,true,1,1,29
156,1235364,biased,boundary_min,true,1,1,27
157,1243283,biased,boundary_min,true,1,1,37
158,1251202,biased,boundary_min,true,1,1,24
159,1259121,biased,boundary_min,true,1,1,25
160,1267040,biased,boundary_min,true,1,1,23
161,1274959,biased,boundary_min,true,1,1,25
162,1282878,biased,boundary_min,true,1,1,23
163,1290797,biased,boundary_min,true,1,1,27
164,1298716,biased,boundary_min,true,1,1,38
165,1306635,biased,boundary_min,true,1,1,25
166,1314554,biased,boundary_min,true,1,1,24
167,1322473,biased,boundary_min,true,1,1,25
168,1330392,biased,boundary_min,true,1,1,24
169,1338311,biased,boundary_min,true,1,1,25
170,1346230,biased,boundary_min,true,1,1,48
171,1354149,biased,boundary_min,true,1,1,26
172,1362068,biased,boundary_min,true,1,1,28
173,1369987,biased,boundary_min,true,1,1,23
174,1377906,biased,boundary_min,true,1,1,43
175,1385825,biased,boundary_min,true,1,1,26
176,1393744,biased,boundary_min,true,1,1,42
177,1401663,biased,boundary_min,true,1,1,227
178,1409582,biased,boundary_min,true,1,1,38
179,1417501,biased,boundary_min,true,1,1,25
180,1425420,biased,boundary_min,true,1,1,30
181,1433339,biased,boundary_min,true,1,1,22
182,1441258,biased,boundary_min,true,1,1,22
183,1449177,biased,boundary_min,true,1,1,24
184,1457096,biased,boundary_min,true,1,1,21
185,1465015,biased,boundary_min,true,1,1,19
186,1472934,biased,boundary_min,true,1,1,19
187,1480853,biased,boundary_min,true,1,1,21
188,1488772,biased,boundary_min,true,1,1,22
189,1496691,biased,boundary_min,true,1,1,19
190,1504610,biased,boundary_min,true,1,1,69
191,1512529,biased,boundary_min,true,1,1,20
192,1520448,biased,boundary_min,true,1,1,19
193,1528367,biased,boundary_min,true,1,1,18
194,1536286,biased,boundary_min,true,1,1,20
195,1544205,biased,boundary_min,true,1,1,18
196,1552124,biased,boundary_min,true,1,1,18
197,1560043,biased,boundary_min,true,1,1,19
198,1567962,biased,boundary_min,true,1,1,21
199,1575881,biased,boundary_min,true,1,1,30
200,1583800,biased,boundary_min,true,1,1,26
201,1591719,biased,boundary_min,true,1,1,20
202,1599638,biased,boundary_min,true,1,1,20
203,1607557,biased,boundary_min,true,1,1,24
204,1615476,biased,boundary_min,true,1,1,34
205,1623395,biased,boundary_min,true,1,1,29
206,1631314,biased,boundary_min,true,1,1,19
