trial_id,seed,scenario,witness_density,sample_size,witness_found,tests_run,elapsed_micros,witness_value
135,1069065,sparse,0.0001,200,false,200,165,
136,1076984,sparse,0.0001,200,false,200,185,
137,1084903,sparse,0.0001,200,false,200,165,
138,1092822,sparse,0.0001,200,false,200,253,
139,1100741,sparse,0.0001,200,false,200,171,
140,1108660,sparse,0.0001,200,false,200,168,
141,1116579,sparse,0.0001,200,false,200,169,
142,1124498,sparse,0.0001,200,false,200,168,
143,1132417,sparse,0.0001,200,false,200,169,
144,1140336,sparse,0.0001,200,false,200,169,
145,1148255,sparse,0.0001,200,false,200,184,
146,1156174,sparse,0.0001,200,false,200,186,
147,1164093,sparse,0.0001,200,false,200,437,
148,1172012,sparse,0.0001,200,false,200,200,
149,1179931,sparse,0.0001,200,false,200,190,
150,1187850,sparse,0.0001,500,false,500,447,
151,1195769,sparse,0.0001,500,false,500,414,
152,1203688,sparse,0.0001,500,false,500,503,
153,1211607,sparse,0.0001,500,false,500,411,
154,1219526,sparse,0.0001,500,false,500,440,
155,1227445,sparse,0.0001,500,false,500,399,
156,1235364,sparse,0.0001,500,false,500,369,
157,1243283,sparse,0.0001,500,false,500,516,
158,1251202,sparse,0.0001,500,false,500,360,
159,1259121,sparse,0.0001,500,false,500,362,
160,1267040,sparse,0.0001,500,false,500,370,
161,1274959,sparse,0.0001,500,false,500,544,
162,1282878,sparse,0.0001,500,false,500,404,
163,1290797,sparse,0.0001,500,false,500,367,
164,1298716,sparse,0.0001,500,false,500,367,
165,1306635,sparse,0.0001,500,false,500,504,
166,1314554,sparse,0.0001,500,false,500,379,
167,1322473,sparse,0.0001,500,false,500,412,
168,1330392,sparse,0.0001,500,true,50,94,"{""x"":300000}"
169,1338311,sparse,0.0001,500,false,500,411,
170,1346230,sparse,0.0001,500,false,500,476,
171,1354149,sparse,0.0001,500,false,500,357,
172,1362068,sparse,0.0001,500,false,500,355,
173,1369987,sparse,0.0001,500,false,500,353,
174,1377906,sparse,0.0001,500,false,500,361,
175,1385825,sparse,0.0001,500,false,500,443,
176,1393744,sparse,0.0001,500,false,500,376,
177,1401663,sparse,0.0001,500,false,500,363,
178,1409582,sparse,0.0001,500,false,500,369,
179,1417501,sparse,0.0001,500,false,500,456,
180,1425420,sparse,0.0001,500,false,500,366,
181,1433339,sparse,0.0001,500,false,500,394,
182,1441258,sparse,0.0001,500,false,500,413,
183,1449177,sparse,0.0001,500,true,133,162,"{""x"":950000}"
184,1457096,sparse,0.0001,500,false,500,462,
185,1465015,sparse,0.0001,500,false,500,358,
186,1472934,sparse,0.0001,500,false,500,355,
187,1480853,sparse,0.0001,500,true,314,324,"{""x"":220000}"
188,1488772,sparse,0.0001,500,false,500,538,
189,1496691,sparse,0.0001,500,false,500,372,
190,1504610,sparse,0.0001,500,false,500,380,
191,1512529,sparse,0.0001,500,false,500,369,
192,1520448,sparse,0.0001,500,false,500,373,
193,1528367,sparse,0.0001,500,false,500,454,
194,1536286,sparse,0.0001,500,false,500,364,
195,1544205,sparse,0.0001,500,false,500,367,
196,1552124,sparse,0.0001,500,false,500,364,
197,1560043,sparse,0.0001,500,false,500,425,
198,1567962,sparse,0.0001,500,false,500,364,
199,1575881,sparse,0.0001,500,true,89,104,"{""x"":840000}"
200,1583800,rare,0.01,50,true,21,118,"{""x"":414200}"
201,1591719,rare,0.01,50,true,38,60,"{""x"":231500}"
202,1599638,rare,0.01,50,true,30,64,"{""x"":544700}"
203,1607557,rare,0.01,50,true,6,43,"{""x"":43400}"
204,1615476,rare,0.01,50,true,28,49,"{""x"":449800}"
205,1623395,rare,0.01,50,false,50,57,
206,1631314,rare,0.01,50,false,50,74,
207,1639233,rare,0.01,50,false,50,70,
208,1647152,rare,0.01,50,false,50,67,
209,1655071,rare,0.01,50,false,50,64,
210,1662990,rare,0.01,50,true,11,29,"{""x"":812200}"
211,1670909,rare,0.01,50,false,50,61,
212,1678828,rare,0.01,50,false,50,59,
213,1686747,rare,0.01,50,false,50,63,
214,1694666,rare,0.01,50,true,22,48,"{""x"":462500}"
215,1702585,rare,0.01,50,false,50,61,
216,1710504,rare,0.01,50,true,28,55,"{""x"":31100}"
217,1718423,rare,0.01,50,false,50,75,
218,1726342,rare,0.01,50,false,50,52,
219,1734261,rare,0.01,50,false,50,59,
220,1742180,rare,0.01,50,false,50,53,
221,1750099,rare,0.01,50,true,41,43,"{""x"":882700}"
222,1758018,rare,0.01,50,false,50,53,
223,1765937,rare,0.01,50,false,50,92,
224,1773856,rare,0.01,50,true,26,42,"{""x"":971100}"
225,1781775,rare,0.01,50,false,50,50,
226,1789694,rare,0.01,50,true,2,17,"{""x"":395500}"
227,1797613,rare,0.01,50,true,25,32,"{""x"":364500}"
228,1805532,rare,0.01,50,true,15,25,"{""x"":909800}"
229,1813451,rare,0.01,50,true,10,21,"{""x"":379700}"
230,1821370,rare,0.01,50,true,33,38,"{""x"":296600}"
231,1829289,rare,0.01,50,true,20,28,"{""x"":811000}"
232,1837208,rare,0.01,50,false,50,51,
233,1845127,rare,0.01,50,true,14,24,"{""x"":124700}"
234,1853046,rare,0.01,50,false,50,49,
235,1860965,rare,0.01,50,false,50,47,
236,1868884,rare,0.01,50,false,50,47,
237,1876803,rare,0.01,50,false,50,47,
238,1884722,rare,0.01,50,true,43,46,"{""x"":712300}"
239,1892641,rare,0.01,50,false,50,47,
240,1900560,rare,0.01,50,true,14,23,"{""x"":909800}"
241,1908479,rare,0.01,50,true,6,18,"{""x"":992300}"
242,1916398,rare,0.01,50,true,39,44,"{""x"":247700}"
243,1924317,rare,0.01,50,true,16,32,"{""x"":928900}"
244,1932236,rare,0.01,50,false,50,48,
245,1940155,rare,0.01,50,true,44,44,"{""x"":59100}"
246,1948074,rare,0.01,50,false,50,48,
247,1955993,rare,0.01,50,true,37,39,"{""x"":150500}"
248,1963912,rare,0.01,50,false,50,48,
249,1971831,rare,0.01,50,false,50,47,
250,1979750,rare,0.01,100,false,100,83,
251,1987669,rare,0.01,100,true,32,37,"{""x"":556500}"
252,1995588,rare,0.01,100,true,56,53,"{""x"":108600}"
253,2003507,rare,0.01,100,true,19,48,"{""x"":243300}"
254,2011426,rare,0.01,100,false,100,92,
255,2019345,rare,0.01,100,true,7,40,"{""x"":339300}"
256,2027264,rare,0.01,100,true,32,49,"{""x"":681700}"
257,2035183,rare,0.01,100,false,100,104,
258,2043102,rare,0.01,100,true,46,56,"{""x"":897500}"
259,2051021,rare,0.01,100,true,42,44,"{""x"":472200}"
260,2058940,rare,0.01,100,true,27,33,"{""x"":553300}"
261,2066859,rare,0.01,100,true,16,25,"{""x"":95400}"
262,2074778,rare,0.01,100,false,100,205,
263,2082697,rare,0.01,100,false,100,94,
264,2090616,rare,0.01,100,true,43,46,"{""x"":571900}"
265,2098535,rare,0.01,100,true,51,50,"{""x"":262900}"
266,2106454,rare,0.01,100,false,100,86,
267,2114373,rare,0.01,100,false,100,83,
268,2122292,rare,0.01,100,false,100,85,
269,2130211,rare,0.01,100,true,40,64,"{""x"":509000}"
270,2138130,rare,0.01,100,true,10,22,"{""x"":973700}"
271,2146049,rare,0.01,100,true,39,41,"{""x"":734100}"
272,2153968,rare,0.01,100,false,100,82,
273,2161887,rare,0.01,100,true,82,71,"{""x"":570200}"
274,2169806,rare,0.01,100,true,4,17,"{""x"":115800}"
275,2177725,rare,0.01,100,true,31,35,"{""x"":351200}"
276,2185644,rare,0.01,100,true,33,37,"{""x"":706000}"
277,2193563,rare,0.01,100,false,100,82,
278,2201482,rare,0.01,100,true,40,42,"{""x"":186600}"
279,2209401,rare,0.01,100,true,66,59,"{""x"":528900}"
280,2217320,rare,0.01,100,true,98,82,"{""x"":674800}"
281,2225239,rare,0.01,100,true,80,69,"{""x"":854300}"
282,2233158,rare,0.01,100,false,100,85,
283,2241077,rare,0.01,100,false,100,101,
284,2248996,rare,0.01,100,true,93,83,"{""x"":184400}"
285,2256915,rare,0.01,100,false,100,83,
286,2264834,rare,0.01,100,true,95,328,"{""x"":565600}"
287,2272753,rare,0.01,100,true,45,64,"{""x"":771300}"
288,2280672,rare,0.01,100,false,100,86,
289,2288591,rare,0.01,100,true,60,56,"{""x"":193800}"
290,2296510,rare,0.01,100,true,17,27,"{""x"":938800}"
291,2304429,rare,0.01,100,false,100,82,
292,2312348,rare,0.01,100,false,100,81,
293,2320267,rare,0.01,100,true,74,65,"{""x"":216700}"
294,2328186,rare,0.01,100,false,100,82,
295,2336105,rare,0.01,100,true,43,43,"{""x"":307200}"
296,2344024,rare,0.01,100,false,100,84,
297,2351943,rare,0.01,100,true,23,30,"{""x"":148800}"
298,2359862,rare,0.01,100,true,26,33,"{""x"":442200}"
299,2367781,rare,0.01,100,false,100,83,
300,2375700,rare,0.01,200,true,119,99,"{""x"":547600}"
301,2383619,rare,0.01,200,true,23,45,"{""x"":480600}"
302,2391538,rare,0.01,200,true,7,21,"{""x"":366000}"
303,2399457,rare,0.01,200,false,200,157,
304,2407376,rare,0.01,200,true,14,26,"{""x"":160600}"
305,2415295,rare,0.01,200,false,200,161,
306,2423214,rare,0.01,200,true,72,69,"{""x"":292200}"
307,2431133,rare,0.01,200,true,84,79,"{""x"":80600}"
308,2439052,rare,0.01,200,true,9,123,"{""x"":760400}"
309,2446971,rare,0.01,200,true,71,70,"{""x"":722300}"
310,2454890,rare,0.01,200,true,61,65,"{""x"":963300}"
311,2462809,rare,0.01,200,true,8,22,"{""x"":301700}"
312,2470728,rare,0.01,200,true,41,47,"{""x"":233500}"
313,2478647,rare,0.01,200,true,110,99,"{""x"":551400}"
314,2486566,rare,0.01,200,true,84,78,"{""x"":282400}"
315,2494485,rare,0.01,200,true,50,54,"{""x"":424300}"
316,2502404,rare,0.01,200,true,87,128,"{""x"":806500}"
317,2510323,rare,0.01,200,true,12,36,"{""x"":520800}"
318,2518242,rare,0.01,200,true,163,157,"{""x"":994400}"
319,2526161,rare,0.01,200,true,82,76,"{""x"":329800}"
320,2534080,rare,0.01,200,true,109,108,"{""x"":661000}"
321,2541999,rare,0.01,200,true,104,89,"{""x"":207100}"
322,2549918,rare,0.01,200,true,102,102,"{""x"":585900}"
323,2557837,rare,0.01,200,true,142,132,"{""x"":726900}"
324,2565756,rare,0.01,200,true,2,25,"{""x"":304300}"
325,2573675,rare,0.01,200,true,64,139,"{""x"":105300}"
326,2581594,rare,0.01,200,true,122,120,"{""x"":712000}"
327,2589513,rare,0.01,200,true,52,53,"{""x"":72900}"
328,2597432,rare,0.01,200,true,180,141,"{""x"":158500}"
329,2605351,rare,0.01,200,false,200,576,
330,2613270,rare,0.01,200,false,200,141,
331,2621189,rare,0.01,200,true,13,27,"{""x"":334600}"
332,2629108,rare,0.01,200,true,107,84,"{""x"":172000}"
333,2637027,rare,0.01,200,true,100,74,"{""x"":66400}"
334,2644946,rare,0.01,200,true,101,73,"{""x"":608900}"
335,2652865,rare,0.01,200,true,130,91,"{""x"":976200}"
336,2660784,rare,0.01,200,true,71,55,"{""x"":107000}"
337,2668703,rare,0.01,200,true,80,61,"{""x"":4200}"
338,2676622,rare,0.01,200,true,173,119,"{""x"":690100}"
339,2684541,rare,0.01,200,true,24,31,"{""x"":642900}"
340,2692460,rare,0.01,200,true,20,27,"{""x"":886100}"
341,2700379,rare,0.01,200,false,200,133,
342,2708298,rare,0.01,200,true,166,121,"{""x"":547800}"
343,2716217,rare,0.01,200,false,200,126,
